,TF,Target,Label
0,59,954,1
1,59,220,1
2,59,205,1
3,59,1015,1
4,59,1101,1
5,59,271,1
6,59,454,1
7,59,775,1
8,59,527,1
9,59,851,1
10,59,601,1
11,59,204,1
12,59,892,1
13,59,642,1
14,59,221,1
15,59,202,1
16,59,431,1
17,59,1082,1
18,59,982,1
19,59,38,1
20,59,502,1
21,59,1081,1
22,59,581,1
23,59,444,1
24,59,570,1
25,59,265,1
26,59,830,1
27,59,847,1
28,66,955,1
29,66,517,1
30,66,780,1
31,66,278,1
32,66,133,1
33,66,369,1
34,66,689,1
35,66,673,1
36,66,272,1
37,66,968,1
38,66,728,1
39,66,382,1
40,66,1087,1
41,117,1027,1
42,117,123,1
43,117,1009,1
44,117,761,1
45,117,402,1
46,117,112,1
47,117,510,1
48,117,1048,1
49,117,877,1
50,117,832,1
51,117,1007,1
52,117,978,1
53,117,371,1
54,117,342,1
55,117,472,1
56,117,613,1
57,117,616,1
58,117,689,1
59,117,890,1
60,117,366,1
61,117,971,1
62,117,490,1
63,117,519,1
64,117,475,1
65,117,468,1
66,117,942,1
67,117,460,1
68,117,205,1
69,117,1078,1
70,117,329,1
71,117,162,1
72,117,364,1
73,117,356,1
74,117,691,1
75,117,1043,1
76,117,800,1
77,117,892,1
78,117,198,1
79,117,618,1
80,117,1067,1
81,117,839,1
82,117,981,1
83,117,84,1
84,117,64,1
85,117,1075,1
86,117,1077,1
87,117,508,1
88,117,712,1
89,117,1118,1
90,117,202,1
91,117,1025,1
92,117,1021,1
93,117,560,1
94,117,951,1
95,117,571,1
96,117,608,1
97,117,358,1
98,117,564,1
99,117,641,1
100,117,1082,1
101,117,160,1
102,117,1054,1
103,117,960,1
104,117,737,1
105,117,830,1
106,117,576,1
107,117,881,1
108,117,801,1
109,117,47,1
110,117,438,1
111,117,102,1
112,117,910,1
113,117,704,1
114,117,180,1
115,117,66,1
116,117,869,1
117,117,995,1
118,117,683,1
119,117,328,1
120,117,250,1
121,117,1070,1
122,117,281,1
123,117,168,1
124,117,672,1
125,117,952,1
126,117,824,1
127,117,173,1
128,117,749,1
129,117,251,1
130,117,222,1
131,117,1088,1
132,117,727,1
133,117,221,1
134,117,760,1
135,117,161,1
136,117,37,1
137,117,681,1
138,117,227,1
139,117,1107,1
140,117,476,1
141,117,288,1
142,117,170,1
143,117,1101,1
144,117,1026,1
145,117,980,1
146,117,413,1
147,117,347,1
148,117,462,1
149,117,639,1
150,117,155,1
151,117,103,1
152,117,1003,1
153,117,398,1
154,117,429,1
155,117,12,1
156,117,292,1
157,117,177,1
