,TF,Target,Label
0,4,35,1
1,4,623,1
2,4,894,1
3,4,536,1
4,4,218,1
5,4,795,1
6,4,6,1
7,8,330,1
8,14,343,1
9,14,906,1
10,14,827,1
11,14,573,1
12,14,391,1
13,14,203,1
14,14,536,1
15,14,309,1
16,14,206,1
17,14,757,1
18,14,526,1
19,14,348,1
20,14,229,1
21,14,632,1
22,19,734,1
23,19,467,1
24,19,682,1
25,21,245,1
26,21,706,1
27,21,359,1
28,24,898,1
29,24,788,1
30,24,282,1
31,24,609,1
32,27,177,1
33,27,223,1
34,27,330,1
35,27,121,1
36,27,87,1
37,30,565,1
38,31,241,1
39,31,507,1
40,31,206,1
41,31,97,1
42,31,699,1
43,31,223,1
44,31,698,1
45,31,794,1
46,31,807,1
47,31,33,1
48,31,39,1
49,31,828,1
50,31,213,1
51,31,682,1
52,31,77,1
53,31,330,1
54,31,609,1
55,31,262,1
56,35,125,1
57,35,678,1
58,35,306,1
59,35,513,1
60,35,206,1
61,35,452,1
62,35,651,1
63,35,512,1
64,35,53,1
65,35,606,1
66,35,190,1
67,35,301,1
68,35,553,1
69,35,541,1
70,35,423,1
71,35,797,1
72,38,621,1
73,40,264,1
74,40,365,1
75,40,423,1
76,40,575,1
77,40,95,1
78,40,38,1
79,40,848,1
80,40,618,1
81,41,125,1
82,42,891,1
83,45,884,1
84,52,219,1
85,57,372,1
86,62,320,1
87,69,130,1
88,69,77,1
89,69,765,1
90,69,153,1
91,69,121,1
92,69,507,1
93,69,223,1
94,69,330,1
95,69,152,1
96,69,254,1
97,69,450,1
98,69,3,1
99,69,698,1
100,69,78,1
101,69,317,1
102,69,724,1
103,69,735,1
104,69,678,1
105,69,555,1
106,69,366,1
107,69,92,1
108,69,206,1
109,74,123,1
110,74,580,1
111,74,340,1
112,74,353,1
113,74,450,1
114,74,330,1
115,74,515,1
116,74,794,1
117,76,651,1
118,77,664,1
119,77,270,1
120,77,515,1
121,77,582,1
122,77,385,1
123,77,80,1
124,77,331,1
125,77,514,1
126,77,244,1
127,77,705,1
128,77,757,1
129,77,32,1
130,77,788,1
131,77,775,1
132,77,439,1
133,77,683,1
134,77,584,1
135,77,866,1
136,77,384,1
137,77,801,1
138,77,835,1
139,77,264,1
140,77,863,1
141,77,901,1
142,77,27,1
143,77,286,1
144,77,713,1
145,77,655,1
146,77,481,1
147,77,896,1
148,77,549,1
149,77,75,1
150,77,76,1
151,77,56,1
152,77,596,1
153,77,688,1
154,77,841,1
155,77,521,1
156,80,145,1
157,81,326,1
158,81,795,1
159,85,398,1
160,85,371,1
161,85,81,1
162,85,31,1
163,85,37,1
164,85,776,1
165,85,52,1
166,85,772,1
167,85,192,1
168,85,265,1
169,85,651,1
170,85,463,1
171,85,69,1
172,85,500,1
173,85,489,1
174,85,704,1
175,85,111,1
176,85,23,1
177,85,471,1
178,85,65,1
179,85,101,1
180,85,341,1
181,85,526,1
182,85,88,1
183,85,750,1
184,85,830,1
