,TF,Target,Label
0,1,298,1
1,1,184,1
2,6,763,1
3,6,393,1
4,6,360,1
5,6,75,1
6,6,542,1
7,10,796,1
8,20,682,1
9,20,817,1
10,20,104,1
11,37,380,1
12,38,470,1
13,38,360,1
14,38,924,1
15,38,556,1
16,38,614,1
17,38,793,1
18,38,352,1
19,38,202,1
20,38,133,1
21,38,538,1
22,40,905,1
23,44,761,1
24,48,741,1
25,48,736,1
26,53,276,1
27,54,445,1
28,54,319,1
29,54,722,1
30,60,759,1
31,60,721,1
32,60,861,1
33,66,943,1
34,67,644,1
35,67,674,1
36,68,199,1
37,68,98,1
38,68,611,1
39,68,468,1
40,68,79,1
41,68,472,1
42,68,289,1
43,68,637,1
44,68,566,1
45,68,894,1
46,68,189,1
47,68,134,1
48,68,664,1
49,68,329,1
50,68,768,1
51,68,264,1
52,68,389,1
53,68,336,1
54,68,149,1
55,68,913,1
56,68,331,1
57,68,941,1
58,68,363,1
59,68,665,1
60,68,33,1
61,68,639,1
62,68,834,1
63,68,364,1
64,68,582,1
65,68,287,1
66,68,345,1
67,68,71,1
68,68,557,1
69,68,504,1
70,68,296,1
71,68,48,1
72,68,512,1
73,68,877,1
74,68,372,1
75,68,855,1
76,68,924,1
77,68,947,1
78,68,358,1
79,68,660,1
80,68,890,1
81,68,585,1
82,68,593,1
83,68,152,1
84,68,150,1
85,68,297,1
86,68,434,1
87,68,674,1
88,68,349,1
89,68,797,1
90,68,314,1
91,68,430,1
92,68,423,1
93,68,226,1
94,68,140,1
95,68,734,1
96,68,17,1
97,68,29,1
98,68,714,1
99,68,703,1
100,68,634,1
101,68,335,1
102,68,182,1
103,68,327,1
104,68,209,1
105,68,115,1
106,68,614,1
107,68,477,1
108,68,793,1
109,68,18,1
110,68,412,1
111,68,159,1
112,68,252,1
113,68,915,1
114,68,777,1
115,68,678,1
116,68,308,1
117,68,7,1
118,68,172,1
119,68,669,1
120,68,375,1
121,68,114,1
122,68,728,1
123,68,805,1
124,68,224,1
125,68,384,1
126,68,300,1
127,68,772,1
128,68,338,1
129,68,649,1
130,68,414,1
131,68,783,1
132,68,461,1
133,69,227,1
134,71,663,1
135,75,474,1
136,75,848,1
137,75,817,1
138,75,671,1
139,78,393,1
140,81,229,1
141,85,868,1
142,86,588,1
143,86,586,1
144,86,147,1
145,86,405,1
146,86,832,1
147,86,306,1
148,86,274,1
149,86,513,1
150,86,172,1
151,86,427,1
152,86,143,1
153,86,138,1
154,92,598,1
155,93,682,1
156,93,821,1
157,101,250,1
158,101,765,1
159,104,529,1
160,104,602,1
161,104,20,1
162,104,474,1
163,108,265,1
164,109,905,1
165,113,538,1
166,113,924,1
167,113,99,1
168,113,902,1
169,113,501,1
170,113,915,1
171,116,870,1
172,119,937,1
173,119,415,1
174,119,419,1
175,119,356,1
176,119,811,1
177,119,746,1
178,119,678,1
179,119,519,1
180,119,393,1
181,119,543,1
182,119,34,1
183,119,473,1
184,119,563,1
185,119,193,1
186,119,573,1
187,119,46,1
188,119,757,1
189,119,181,1
190,119,662,1
191,119,134,1
192,119,21,1
193,119,33,1
194,119,864,1
195,119,693,1
196,119,328,1
197,119,138,1
198,119,69,1
199,119,376,1
200,119,885,1
201,119,824,1
202,119,583,1
203,119,556,1
204,119,794,1
205,119,212,1
206,119,232,1
207,119,48,1
208,119,614,1
209,119,379,1
210,119,413,1
211,119,772,1
212,119,741,1
213,119,367,1
214,119,722,1
215,119,731,1
216,119,271,1
217,119,653,1
218,119,159,1
219,119,667,1
220,119,888,1
221,119,378,1
222,119,400,1
223,119,96,1
224,119,504,1
225,119,656,1
226,119,680,1
227,119,689,1
228,119,713,1
229,119,335,1
230,119,894,1
231,119,913,1
232,119,349,1
233,119,560,1
234,119,172,1
235,119,56,1
236,119,906,1
237,119,692,1
238,119,79,1
239,119,869,1
240,119,467,1
241,119,281,1
242,119,40,1
243,119,223,1
244,119,60,1
245,119,848,1
246,119,674,1
