,TF,Target,Label
0,0,1219,1
1,0,706,1
2,2,822,1
3,4,1290,1
4,4,688,1
5,4,588,1
6,4,34,1
7,5,508,1
8,23,563,1
9,31,936,1
10,31,921,1
11,31,813,1
12,31,726,1
13,31,702,1
14,31,925,1
15,31,1246,1
16,31,176,1
17,31,359,1
18,31,365,1
19,31,170,1
20,31,434,1
21,31,521,1
22,31,455,1
23,31,818,1
24,31,857,1
25,31,1293,1
26,31,829,1
27,31,1168,1
28,31,1058,1
29,31,423,1
30,31,909,1
31,31,819,1
32,31,502,1
33,34,108,1
34,34,1290,1
35,34,1038,1
36,34,588,1
37,34,688,1
38,44,966,1
39,44,541,1
40,47,210,1
41,52,1053,1
42,57,1242,1
43,57,187,1
44,57,798,1
45,60,915,1
46,68,871,1
47,81,65,1
48,81,434,1
49,81,1112,1
50,81,301,1
51,81,804,1
52,81,1108,1
53,81,1178,1
54,81,929,1
55,81,42,1
56,81,719,1
57,81,989,1
58,81,921,1
59,81,170,1
60,81,1293,1
61,81,1225,1
62,81,138,1
63,81,951,1
64,81,200,1
65,81,646,1
66,81,367,1
67,81,905,1
68,81,925,1
69,81,1015,1
70,81,119,1
71,81,422,1
72,81,813,1
73,81,343,1
74,81,1038,1
75,81,131,1
76,81,563,1
77,81,440,1
78,81,869,1
79,81,1080,1
80,81,641,1
81,81,1184,1
82,82,941,1
83,82,150,1
84,82,292,1
85,82,902,1
86,82,590,1
87,82,505,1
88,82,324,1
89,82,612,1
90,82,1297,1
91,82,477,1
92,88,1123,1
93,88,780,1
94,88,1219,1
95,98,144,1
96,98,420,1
97,98,293,1
98,98,16,1
99,98,1208,1
100,98,859,1
101,98,6,1
102,98,18,1
103,98,186,1
104,98,719,1
105,98,906,1
106,98,688,1
107,98,250,1
108,98,990,1
109,98,229,1
110,98,1250,1
111,98,161,1
112,98,767,1
113,98,682,1
114,104,390,1
115,105,322,1
116,105,505,1
117,105,881,1
118,105,902,1
119,105,150,1
120,105,1066,1
121,105,324,1
122,105,467,1
123,105,944,1
124,105,477,1
125,105,590,1
126,105,907,1
127,106,841,1
128,106,905,1
129,106,497,1
130,106,1227,1
131,106,9,1
132,106,662,1
133,106,857,1
134,106,275,1
135,106,390,1
136,106,508,1
137,108,70,1
138,116,629,1
139,116,818,1
140,116,1287,1
141,118,426,1
142,137,1110,1
143,144,929,1
144,144,1293,1
145,144,226,1
146,144,716,1
147,144,804,1
148,144,362,1
149,144,18,1
150,144,952,1
151,144,6,1
152,146,106,1
153,146,444,1
154,146,662,1
155,150,1238,1
156,150,1085,1
157,150,292,1
158,150,1053,1
159,150,477,1
160,150,548,1
161,150,849,1
162,150,1237,1
163,150,902,1
164,150,1182,1
165,150,467,1
166,150,365,1
167,150,590,1
168,150,105,1
169,150,1066,1
170,150,82,1
171,150,959,1
172,150,1320,1
173,161,362,1
174,161,270,1
175,161,367,1
176,161,459,1
177,161,469,1
178,161,513,1
179,161,862,1
180,161,1113,1
181,161,554,1
182,161,1030,1
183,161,1115,1
184,161,110,1
185,161,323,1
186,161,1010,1
187,161,1123,1
188,161,1170,1
189,161,412,1
190,161,159,1
191,161,1041,1
192,161,1185,1
193,161,739,1
194,161,44,1
195,161,814,1
196,161,711,1
197,161,218,1
198,170,573,1
199,170,638,1
200,170,957,1
201,170,1242,1
202,170,802,1
203,170,447,1
204,173,688,1
205,173,631,1
206,173,34,1
207,173,1170,1
208,179,497,1
209,182,587,1
210,182,357,1
211,182,641,1
212,182,841,1
213,182,777,1
214,182,275,1
215,182,1038,1
216,182,434,1
217,182,390,1
218,182,9,1
219,186,34,1
220,186,573,1
221,186,637,1
222,206,685,1
223,210,828,1
224,210,1054,1
225,210,226,1
226,210,358,1
227,210,1281,1
228,210,747,1
229,210,619,1
230,210,801,1
231,210,764,1
232,210,1050,1
233,210,1098,1
234,210,676,1
235,210,794,1
236,210,80,1
237,210,262,1
238,210,312,1
239,210,768,1
240,210,600,1
241,210,496,1
242,210,1256,1
243,210,1291,1
244,210,802,1
245,210,440,1
246,210,953,1
247,210,876,1
248,210,456,1
249,210,1063,1
250,210,353,1
251,210,367,1
252,210,857,1
253,210,929,1
254,210,543,1
255,210,706,1
256,210,184,1
257,210,422,1
258,210,1253,1
259,210,726,1
260,210,905,1
261,210,459,1
262,210,350,1
263,210,129,1
264,210,798,1
265,210,137,1
266,210,1159,1
267,210,1052,1
268,219,390,1
269,219,508,1
270,226,161,1
271,226,647,1
272,226,186,1
273,226,1293,1
274,226,18,1
275,226,144,1
276,226,797,1
277,226,250,1
278,226,952,1
279,226,282,1
