,TF,Target,Label
0,0,723,1
1,1,490,1
2,1,1317,1
3,2,653,1
4,2,355,1
5,2,773,1
6,2,1438,1
7,2,566,1
8,2,658,1
9,2,813,1
10,2,1219,1
11,2,247,1
12,8,716,1
13,8,1574,1
14,8,1479,1
15,9,248,1
16,9,1463,1
17,9,1459,1
18,9,171,1
19,9,412,1
20,9,1077,1
21,9,499,1
22,9,1599,1
23,9,422,1
24,9,779,1
25,9,374,1
26,9,1014,1
27,9,253,1
28,9,1582,1
29,9,857,1
30,9,864,1
31,9,959,1
32,9,1117,1
33,9,743,1
34,9,515,1
35,9,1379,1
36,9,838,1
37,9,777,1
38,9,1004,1
39,9,1257,1
40,9,1422,1
41,9,500,1
42,9,658,1
43,9,1031,1
44,9,593,1
45,9,1130,1
46,9,1524,1
47,9,1544,1
48,9,1408,1
49,9,1458,1
50,9,1071,1
51,9,595,1
52,9,463,1
53,9,456,1
54,9,216,1
55,9,1241,1
56,9,1476,1
57,9,920,1
58,9,191,1
59,9,81,1
60,9,1159,1
61,9,956,1
62,9,317,1
63,9,215,1
64,9,1533,1
65,9,10,1
66,9,407,1
67,9,926,1
68,9,553,1
69,9,1436,1
70,9,168,1
71,9,112,1
72,9,1022,1
73,9,1460,1
74,9,723,1
75,9,1387,1
76,9,703,1
77,9,897,1
78,9,962,1
79,9,960,1
80,9,769,1
81,9,1292,1
82,9,1056,1
83,9,992,1
84,9,358,1
85,9,1329,1
86,9,1390,1
87,9,225,1
88,9,1101,1
89,9,1399,1
90,9,652,1
91,9,1474,1
92,9,461,1
93,9,255,1
94,9,858,1
95,9,856,1
96,9,1068,1
97,9,841,1
98,9,1247,1
99,9,197,1
100,9,137,1
101,9,1561,1
102,9,1534,1
103,9,919,1
104,9,786,1
105,9,599,1
106,9,50,1
107,9,1450,1
108,9,1152,1
109,9,815,1
110,9,749,1
111,9,893,1
112,9,1003,1
113,9,1608,1
114,9,190,1
115,9,1309,1
116,9,1363,1
117,9,712,1
118,9,1208,1
119,9,222,1
120,9,545,1
121,9,1336,1
122,9,774,1
123,9,320,1
124,9,1037,1
125,9,676,1
126,9,991,1
127,9,683,1
128,9,516,1
129,9,963,1
130,9,812,1
131,9,704,1
132,9,544,1
133,9,1481,1
134,9,1258,1
135,9,760,1
136,9,1240,1
137,9,682,1
138,9,1049,1
139,9,1587,1
140,9,1180,1
141,9,983,1
142,9,659,1
143,9,965,1
144,9,382,1
145,9,1610,1
146,9,1574,1
147,9,428,1
148,9,1144,1
149,9,467,1
150,9,290,1
151,9,527,1
152,9,1069,1
153,9,1203,1
154,9,547,1
155,9,1161,1
156,9,507,1
157,9,1371,1
158,9,1318,1
159,9,259,1
160,9,1011,1
161,9,1224,1
162,9,1428,1
163,9,5,1
164,9,238,1
165,9,801,1
166,9,751,1
167,9,1596,1
168,16,860,1
169,17,723,1
170,17,509,1
171,17,206,1
172,17,832,1
173,17,129,1
174,17,716,1
175,17,896,1
176,17,510,1
177,17,155,1
