,TF,Target,Label
0,2,680,1
1,2,218,1
2,15,609,1
3,15,185,1
4,15,326,1
5,15,110,1
6,15,186,1
7,15,524,1
8,15,698,1
9,15,153,1
10,15,155,1
11,15,343,1
12,15,565,1
13,15,258,1
14,15,220,1
15,15,263,1
16,15,590,1
17,15,620,1
18,15,490,1
19,15,482,1
20,15,372,1
21,15,687,1
22,15,82,1
23,15,548,1
24,15,442,1
25,15,95,1
26,21,509,1
27,21,56,1
28,21,611,1
29,21,335,1
30,21,201,1
31,21,92,1
32,21,93,1
33,21,686,1
34,21,203,1
35,21,18,1
36,21,257,1
37,21,137,1
38,21,516,1
39,21,672,1
40,21,247,1
41,21,404,1
42,21,356,1
43,21,41,1
44,21,408,1
45,21,54,1
46,21,453,1
47,21,244,1
48,21,597,1
49,21,144,1
50,21,364,1
51,21,385,1
52,21,586,1
53,21,477,1
54,21,458,1
55,21,454,1
56,21,599,1
57,21,79,1
58,21,39,1
59,29,48,1
60,29,545,1
61,33,427,1
62,33,330,1
63,33,359,1
64,33,37,1
65,33,477,1
66,33,282,1
67,33,602,1
68,33,115,1
69,33,459,1
70,37,477,1
71,39,161,1
72,39,70,1
73,39,479,1
74,39,395,1
75,39,92,1
76,39,459,1
77,48,34,1
78,48,482,1
79,48,29,1
80,48,352,1
81,48,203,1
82,48,640,1
83,48,524,1
84,48,224,1
85,48,293,1
86,48,395,1
87,48,609,1
88,48,100,1
89,48,82,1
90,48,21,1
91,57,516,1
92,57,127,1
93,57,668,1
94,58,545,1
95,59,20,1
96,59,326,1
97,59,30,1
98,59,129,1
99,59,352,1
100,59,508,1
101,59,657,1
102,59,592,1
103,59,6,1
104,59,268,1
105,59,150,1
106,59,482,1
107,59,240,1
108,59,507,1
109,59,308,1
110,59,106,1
111,59,43,1
112,59,683,1
113,59,652,1
114,59,664,1
115,59,91,1
116,59,395,1
117,59,22,1
118,59,178,1
119,59,153,1
120,59,242,1
121,59,103,1
122,59,418,1
123,59,682,1
124,59,391,1
125,62,533,1
126,62,31,1
127,67,556,1
128,70,11,1
129,72,395,1
130,72,210,1
131,72,511,1
132,79,203,1
133,79,21,1
134,79,652,1
135,79,463,1
136,79,511,1
137,79,174,1
138,79,616,1
139,79,100,1
140,79,39,1
141,79,439,1
142,82,565,1
143,82,232,1
144,82,620,1
145,82,699,1
146,82,253,1
147,82,230,1
148,82,285,1
149,82,293,1
150,82,389,1
151,82,482,1
152,82,213,1
153,82,667,1
154,82,186,1
155,82,548,1
156,82,590,1
157,82,95,1
158,82,31,1
159,82,442,1
