,TF,Target,Label
0,46,714,1
1,46,317,1
2,46,451,1
3,48,455,1
4,64,600,1
5,64,826,1
6,64,528,1
7,118,719,1
8,130,337,1
9,130,636,1
10,130,514,1
11,130,766,1
12,130,728,1
13,130,452,1
14,130,852,1
15,130,972,1
16,130,740,1
17,130,179,1
18,130,762,1
19,130,426,1
20,130,922,1
21,130,645,1
22,130,671,1
23,130,1110,1
24,130,118,1
25,130,1078,1
26,130,244,1
27,130,675,1
28,168,638,1
29,168,110,1
30,168,737,1
31,168,380,1
32,168,317,1
33,168,578,1
34,168,102,1
35,168,152,1
36,168,1075,1
37,168,987,1
38,168,963,1
39,168,307,1
40,168,277,1
41,168,700,1
42,168,549,1
43,168,460,1
44,168,629,1
45,168,1050,1
46,168,983,1
47,168,231,1
48,168,15,1
49,168,361,1
50,168,594,1
51,168,528,1
52,168,192,1
53,168,909,1
54,168,544,1
55,171,1037,1
56,171,356,1
57,171,524,1
58,171,231,1
59,171,912,1
60,171,389,1
61,171,192,1
62,171,421,1
63,176,165,1
64,176,1060,1
65,176,506,1
66,176,80,1
67,176,543,1
68,176,542,1
69,176,746,1
70,176,712,1
71,176,1051,1
72,176,541,1
73,176,1074,1
74,176,463,1
75,176,577,1
76,176,444,1
77,176,212,1
78,176,81,1
79,176,754,1
80,176,857,1
81,176,562,1
82,176,375,1
83,176,639,1
84,176,199,1
85,176,1075,1
86,176,170,1
87,176,745,1
88,176,822,1
89,176,831,1
90,176,272,1
91,176,744,1
92,176,957,1
93,176,578,1
94,176,183,1
95,176,37,1
96,176,644,1
97,176,1085,1
98,176,955,1
99,176,205,1
100,176,625,1
101,176,894,1
102,179,441,1
103,184,78,1
104,184,1074,1
105,184,984,1
106,184,1051,1
107,184,542,1
108,184,80,1
109,184,639,1
110,184,311,1
111,184,642,1
112,184,744,1
113,184,857,1
114,184,746,1
115,184,936,1
116,184,955,1
117,184,1022,1
118,184,165,1
119,184,562,1
120,184,541,1
121,184,644,1
122,184,344,1
123,184,543,1
124,184,37,1
125,184,896,1
126,184,714,1
127,184,288,1
128,184,507,1
129,184,183,1
130,184,272,1
131,184,187,1
132,184,822,1
133,184,684,1
134,184,1127,1
135,184,605,1
136,184,205,1
137,184,578,1
138,184,176,1
139,184,167,1
140,184,407,1
141,184,1073,1
142,184,831,1
143,192,1081,1
144,192,349,1
145,192,422,1
146,192,476,1
147,192,746,1
148,192,688,1
149,192,937,1
150,192,45,1
151,192,881,1
152,192,724,1
153,192,1040,1
154,192,801,1
155,192,524,1
156,192,810,1
157,192,632,1
158,192,169,1
159,192,383,1
160,192,170,1
161,192,421,1
162,192,460,1
163,192,451,1
164,192,369,1
165,192,301,1
166,192,380,1
167,192,111,1
168,192,634,1
169,192,775,1
170,192,1074,1
171,192,578,1
172,192,706,1
173,192,952,1
174,192,197,1
175,192,576,1
176,192,181,1
177,192,472,1
178,192,824,1
179,192,676,1
180,192,196,1
181,192,886,1
182,192,766,1
183,192,749,1
184,192,711,1
185,192,691,1
186,192,231,1
187,192,64,1
188,192,1112,1
189,192,908,1
190,192,846,1
191,192,723,1
192,192,804,1
193,192,452,1
194,192,584,1
195,192,832,1
196,192,669,1
197,192,87,1
198,192,497,1
199,192,37,1
200,192,857,1
201,192,890,1
202,192,203,1
203,192,496,1
204,192,675,1
205,192,611,1
206,192,1053,1
207,192,758,1
208,192,392,1
209,192,717,1
210,192,640,1
211,192,128,1
212,192,652,1
213,192,695,1
214,192,276,1
215,192,976,1
216,192,201,1
217,192,714,1
218,192,458,1
219,192,157,1
220,192,841,1
221,192,138,1
222,192,557,1
223,192,273,1
224,192,687,1
225,192,1045,1
226,192,980,1
227,200,834,1
228,203,822,1
229,209,357,1
230,209,1065,1
231,209,931,1
232,209,317,1
233,209,727,1
234,209,739,1
235,244,714,1
236,246,632,1
237,246,99,1
238,246,1111,1
239,246,854,1
240,272,894,1
241,272,81,1
242,272,351,1
243,272,543,1
244,272,578,1
245,272,1073,1
246,272,311,1
247,272,288,1
248,272,562,1
249,272,754,1
250,272,1051,1
251,272,135,1
252,272,605,1
253,272,289,1
254,272,1085,1
255,272,955,1
256,272,506,1
257,272,541,1
258,272,205,1
259,272,896,1
260,272,684,1
261,272,202,1
262,272,984,1
263,272,1074,1
264,272,463,1
265,272,577,1
266,272,183,1
267,272,822,1
268,272,170,1
269,272,165,1
270,272,676,1
271,272,167,1
272,272,712,1
273,272,444,1
274,272,744,1
275,272,1060,1
276,287,441,1
277,287,518,1
278,287,627,1
279,287,1038,1
280,287,802,1
281,287,937,1
282,287,963,1
283,287,34,1
284,287,344,1
285,287,321,1
286,287,854,1
287,290,517,1
288,310,407,1
289,311,184,1
290,311,187,1
291,311,984,1
292,311,407,1
293,311,822,1
294,311,1074,1
295,311,894,1
296,311,562,1
297,311,744,1
298,311,506,1
299,311,507,1
300,311,979,1
301,311,1060,1
302,311,202,1
303,311,37,1
304,311,714,1
305,311,80,1
306,311,375,1
307,311,831,1
308,311,1127,1
309,311,176,1
310,311,289,1
311,311,957,1
312,311,541,1
313,311,81,1
314,311,205,1
315,311,936,1
316,311,78,1
317,311,542,1
318,311,605,1
319,311,746,1
320,311,183,1
321,311,1075,1
322,311,857,1
323,311,578,1
324,311,848,1
325,311,351,1
326,327,461,1
327,327,524,1
