,TF,Target,Label
0,31,244,1
1,31,489,1
2,31,340,1
3,31,485,1
4,31,452,1
5,31,266,1
6,51,408,1
7,58,382,1
8,58,592,1
9,58,204,1
10,58,16,1
11,58,220,1
12,58,316,1
13,58,190,1
14,58,171,1
15,58,542,1
16,58,202,1
17,58,472,1
18,58,606,1
19,58,200,1
20,58,517,1
21,74,243,1
22,74,144,1
23,74,641,1
24,74,16,1
25,74,617,1
26,74,540,1
27,74,307,1
28,91,472,1
29,105,74,1
30,116,51,1
31,116,328,1
32,116,238,1
33,116,80,1
34,116,246,1
35,116,690,1
36,116,672,1
37,116,621,1
38,116,327,1
39,116,534,1
40,123,407,1
41,171,382,1
42,194,570,1
43,194,507,1
44,194,604,1
45,194,477,1
46,194,577,1
47,194,690,1
48,222,400,1
49,236,328,1
50,238,171,1
51,243,236,1
52,243,238,1
53,244,516,1
54,244,629,1
55,244,266,1
56,244,340,1
57,244,566,1
58,244,489,1
59,245,654,1
60,245,374,1
61,245,459,1
62,245,128,1
63,245,645,1
64,245,524,1
65,345,355,1
66,382,400,1
67,382,287,1
68,382,325,1
69,382,259,1
70,382,616,1
71,382,272,1
72,409,422,1
73,409,543,1
74,409,478,1
75,409,253,1
76,409,436,1
77,409,428,1
78,409,569,1
79,409,58,1
80,409,335,1
81,409,606,1
82,409,621,1
83,409,223,1
84,409,222,1
85,409,291,1
86,409,643,1
87,431,58,1
88,442,73,1
89,442,540,1
90,442,570,1
91,516,485,1
92,516,566,1
93,516,31,1
94,516,520,1
95,516,244,1
96,517,654,1
97,518,286,1
98,524,245,1
99,540,434,1
100,540,272,1
101,540,296,1
102,540,236,1
103,540,507,1
104,583,171,1
105,594,604,1
106,594,396,1
107,604,296,1
108,604,199,1
109,604,102,1
110,604,416,1
111,604,544,1
112,604,114,1
113,604,400,1
114,604,152,1
115,604,17,1
116,604,504,1
117,604,365,1
118,604,675,1
119,604,217,1
120,604,185,1
121,604,573,1
122,604,293,1
123,604,527,1
124,604,4,1
125,604,77,1
126,604,353,1
127,604,436,1
128,604,183,1
129,604,629,1
130,604,95,1
131,604,65,1
132,604,541,1
133,604,378,1
134,606,472,1
135,639,442,1
136,653,604,1
137,654,128,1
138,654,150,1
139,654,573,1
140,654,138,1
141,654,459,1
142,654,245,1
143,654,296,1
144,654,9,1
145,654,594,1
146,671,559,1
147,671,70,1
148,671,38,1
149,671,416,1
150,671,566,1
151,671,665,1
152,671,532,1
153,671,511,1
154,671,432,1
155,671,462,1
156,671,353,1
157,671,3,1
158,671,268,1
159,671,403,1
160,671,185,1
161,671,323,1
162,671,470,1
163,671,541,1
164,671,373,1
165,671,596,1
166,671,504,1
167,671,72,1
168,671,422,1
169,671,481,1
170,671,643,1
171,671,485,1
172,671,199,1
173,671,122,1
174,686,149,1
175,518,120,0
176,91,113,0
177,518,309,0
178,524,688,0
179,171,323,0
180,409,340,0
181,243,127,0
182,524,505,0
183,116,224,0
184,606,617,0
185,442,500,0
186,540,230,0
187,238,95,0
188,517,229,0
189,203,394,0
190,58,167,0
191,653,602,0
192,91,483,0
193,236,541,0
194,222,386,0
195,686,584,0
196,606,660,0
197,105,225,0
198,594,133,0
199,442,491,0
200,583,430,0
201,606,253,0
202,345,191,0
203,594,281,0
204,517,218,0
205,382,691,0
206,244,473,0
207,686,349,0
208,594,219,0
209,409,658,0
210,243,622,0
211,222,502,0
212,654,469,0
213,524,10,0
214,243,470,0
215,194,5,0
216,442,164,0
217,524,269,0
218,409,96,0
219,686,564,0
220,236,348,0
221,345,619,0
222,517,275,0
223,541,664,0
224,382,620,0
225,671,276,0
226,238,304,0
227,431,574,0
228,639,55,0
229,639,582,0
230,203,269,0
231,583,460,0
232,606,353,0
233,123,380,0
234,222,233,0
235,244,34,0
236,194,270,0
237,238,471,0
238,517,374,0
239,524,682,0
240,203,628,0
241,31,178,0
242,243,669,0
243,245,306,0
244,238,610,0
245,639,22,0
246,639,497,0
247,243,675,0
248,105,510,0
249,442,674,0
250,236,659,0
251,345,291,0
252,431,660,0
253,541,170,0
254,639,255,0
255,606,221,0
256,74,117,0
257,123,9,0
258,654,541,0
259,345,28,0
260,431,329,0
261,524,145,0
262,594,579,0
263,382,248,0
264,105,572,0
