,TF,Target,Label
0,0,36,1
1,5,923,1
2,5,586,1
3,5,284,1
4,5,346,1
5,5,130,1
6,5,914,1
7,5,59,1
8,5,68,1
9,5,646,1
10,5,277,1
11,5,1364,1
12,5,195,1
13,5,1215,1
14,5,381,1
15,5,853,1
16,5,1348,1
17,5,357,1
18,5,454,1
19,7,93,1
20,18,1332,1
21,20,1007,1
22,30,942,1
23,30,366,1
24,30,289,1
25,30,1243,1
26,30,726,1
27,30,157,1
28,30,1343,1
29,30,193,1
30,30,254,1
31,30,34,1
32,30,1331,1
33,30,205,1
34,30,450,1
35,30,354,1
36,30,176,1
37,32,19,1
38,32,36,1
39,32,58,1
40,32,122,1
41,32,588,1
42,32,600,1
43,32,1151,1
44,32,706,1
45,32,1243,1
46,32,305,1
47,32,1374,1
48,32,30,1
49,32,202,1
50,32,251,1
51,32,902,1
52,32,409,1
53,32,1353,1
54,32,98,1
55,32,829,1
56,32,516,1
57,32,666,1
58,32,1302,1
59,32,1249,1
60,32,743,1
61,33,1306,1
62,33,367,1
63,33,454,1
64,33,1099,1
65,33,1288,1
66,33,1332,1
67,33,675,1
68,33,487,1
69,33,1303,1
70,33,34,1
71,33,558,1
72,33,206,1
73,33,848,1
74,33,710,1
75,33,489,1
76,33,1044,1
77,33,392,1
78,33,931,1
79,34,942,1
80,34,1344,1
81,34,1249,1
82,34,660,1
83,34,892,1
84,34,609,1
85,34,606,1
86,34,183,1
87,34,1303,1
88,34,72,1
89,34,1243,1
90,34,517,1
91,34,305,1
92,34,1222,1
93,34,44,1
94,34,879,1
95,34,202,1
96,34,489,1
97,34,577,1
98,34,662,1
99,34,1216,1
100,34,539,1
101,34,572,1
102,34,30,1
103,34,759,1
104,36,329,1
105,36,704,1
106,36,751,1
107,36,1118,1
108,36,1306,1
109,36,600,1
110,36,823,1
111,36,509,1
112,36,367,1
113,36,1243,1
114,36,311,1
115,36,1249,1
116,36,217,1
117,36,1241,1
118,36,0,1
119,36,1344,1
120,36,1227,1
121,36,32,1
122,44,609,1
123,44,254,1
124,44,539,1
125,44,183,1
126,44,95,1
127,44,566,1
128,44,340,1
129,46,835,1
130,46,848,1
131,46,1000,1
132,46,351,1
133,46,1295,1
134,46,333,1
135,49,1245,1
136,49,882,1
137,49,1155,1
138,49,101,1
139,49,635,1
140,49,691,1
141,49,65,1
142,49,988,1
143,49,1027,1
144,49,467,1
145,49,1189,1
146,49,1364,1
147,49,56,1
148,49,1169,1
149,49,14,1
150,53,1119,1
151,55,657,1
152,55,784,1
153,55,79,1
154,56,47,1
155,56,49,1
156,56,1182,1
157,56,874,1
158,56,675,1
159,56,467,1
160,56,691,1
161,56,1023,1
162,56,1027,1
163,56,475,1
164,59,500,1
165,59,381,1
166,59,197,1
167,59,1004,1
168,59,736,1
169,59,86,1
170,59,1149,1
171,59,1139,1
172,59,1140,1
173,66,1178,1
174,66,277,1
175,66,195,1
176,66,646,1
177,66,1004,1
178,66,500,1
179,66,1033,1
180,66,853,1
181,66,454,1
182,66,675,1
183,66,1245,1
184,66,130,1
185,66,27,1
186,66,874,1
187,66,1027,1
188,66,1258,1
189,66,284,1
190,66,86,1
191,71,85,1
192,72,588,1
193,72,317,1
194,72,477,1
195,72,347,1
196,72,420,1
197,72,982,1
198,72,75,1
199,72,612,1
200,72,1119,1
201,72,1221,1
202,72,405,1
203,72,1250,1
204,72,980,1
205,72,847,1
206,72,610,1
207,72,1023,1
208,72,17,1
209,72,1357,1
210,72,1317,1
211,72,1125,1
212,73,606,1
213,74,673,1
214,74,932,1
215,74,209,1
216,74,356,1
217,74,768,1
218,74,340,1
219,74,116,1
220,76,643,1
221,76,823,1
222,79,784,1
223,79,55,1
224,79,1240,1
225,79,1057,1
226,85,932,1
227,85,507,1
228,85,558,1
229,86,1149,1
230,86,1004,1
231,86,1178,1
232,86,59,1
233,86,500,1
234,86,66,1
235,86,740,1
236,89,606,1
237,108,1194,1
238,108,1126,1
239,108,214,1
240,108,704,1
241,108,609,1
242,108,1249,1
243,108,1374,1
244,108,19,1
245,108,551,1
246,108,1216,1
247,108,209,1
248,108,74,1
249,108,1303,1
250,108,739,1
251,108,305,1
252,108,33,1
253,108,34,1
254,108,670,1
255,108,131,1
256,108,588,1
257,108,690,1
258,108,861,1
259,108,1344,1
