,TF,Target,Label
0,1,406,1
1,1,589,1
2,1,620,1
3,1,311,1
4,1,563,1
5,1,482,1
6,1,639,1
7,1,668,1
8,1,593,1
9,1,790,1
10,1,819,1
11,1,454,1
12,1,427,1
13,1,178,1
14,1,823,1
15,1,329,1
16,1,29,1
17,4,64,1
18,4,446,1
19,4,441,1
20,4,476,1
21,4,41,1
22,4,363,1
23,4,96,1
24,4,300,1
25,4,481,1
26,4,728,1
27,4,387,1
28,4,515,1
29,4,220,1
30,4,496,1
31,4,642,1
32,4,548,1
33,4,370,1
34,4,750,1
35,4,105,1
36,4,186,1
37,4,946,1
38,4,864,1
39,4,128,1
40,5,706,1
41,14,673,1
42,14,534,1
43,14,161,1
44,14,249,1
45,14,591,1
46,14,409,1
47,14,551,1
48,14,752,1
49,14,433,1
50,14,510,1
51,14,672,1
52,15,785,1
53,15,249,1
54,15,280,1
55,15,600,1
56,15,672,1
57,15,945,1
58,15,916,1
59,15,277,1
60,15,858,1
61,20,550,1
62,20,501,1
63,22,362,1
64,22,590,1
65,22,342,1
66,22,623,1
67,22,813,1
68,22,228,1
69,22,627,1
70,22,939,1
71,22,86,1
72,22,892,1
73,22,131,1
74,22,470,1
75,22,534,1
76,24,94,1
77,24,382,1
78,24,4,1
79,24,296,1
80,24,642,1
81,24,137,1
82,24,370,1
83,24,864,1
84,24,64,1
85,24,767,1
86,24,590,1
87,24,481,1
88,24,220,1
89,24,669,1
90,24,41,1
91,24,387,1
92,24,242,1
93,24,363,1
94,24,128,1
95,24,750,1
96,24,441,1
97,24,756,1
98,24,523,1
99,26,522,1
100,26,819,1
101,26,858,1
102,26,888,1
103,26,673,1
104,26,556,1
105,26,368,1
106,26,89,1
107,26,86,1
108,26,804,1
109,26,462,1
110,26,600,1
111,26,616,1
112,28,905,1
113,28,435,1
114,28,471,1
115,28,785,1
116,28,755,1
117,36,114,1
118,37,892,1
119,37,543,1
120,38,936,1
121,38,226,1
122,38,190,1
123,38,499,1
124,38,9,1
125,38,736,1
126,38,290,1
127,38,515,1
128,38,250,1
129,38,213,1
130,38,864,1
131,38,635,1
132,38,64,1
133,38,687,1
134,38,573,1
135,38,30,1
136,38,620,1
137,38,61,1
138,38,610,1
139,38,319,1
140,38,96,1
141,39,709,1
142,39,522,1
143,39,766,1
144,39,249,1
145,39,815,1
146,39,85,1
147,39,26,1
148,39,631,1
149,39,33,1
150,39,534,1
151,39,595,1
152,39,741,1
153,39,556,1
154,39,819,1
155,39,406,1
156,39,87,1
157,39,528,1
158,39,673,1
159,39,452,1
160,39,518,1
161,39,319,1
162,39,470,1
163,39,124,1
164,39,328,1
165,40,676,1
166,40,833,1
167,40,426,1
168,40,64,1
169,40,378,1
170,40,96,1
171,40,386,1
172,40,864,1
173,40,441,1
174,40,226,1
175,40,662,1
176,40,939,1
177,40,233,1
178,40,813,1
179,40,736,1
180,40,362,1
181,40,687,1
182,40,515,1
183,40,250,1
184,40,936,1
185,40,342,1
186,41,475,1
187,41,211,1
188,41,226,1
189,41,681,1
190,41,24,1
191,41,500,1
192,41,786,1
193,41,328,1
194,41,186,1
195,41,276,1
196,41,370,1
197,41,581,1
198,41,496,1
199,41,792,1
200,41,222,1
201,41,190,1
202,41,486,1
203,41,242,1
204,41,128,1
205,41,854,1
206,41,67,1
207,41,216,1
208,41,520,1
209,41,538,1
210,41,4,1
211,41,406,1
212,41,40,1
213,41,499,1
214,41,788,1
215,41,212,1
216,41,387,1
217,41,916,1
218,41,687,1
219,41,736,1
220,41,57,1
221,41,94,1
222,41,864,1
223,41,546,1
224,41,554,1
225,41,300,1
226,41,117,1
227,41,85,1
228,41,901,1
229,41,902,1
230,41,54,1
231,41,465,1
232,41,363,1
233,41,728,1
234,41,634,1
235,41,144,1
236,41,121,1
237,41,112,1
238,41,414,1
239,41,815,1
240,41,343,1
241,41,481,1
242,41,482,1
243,41,476,1
244,41,745,1
245,41,718,1
246,41,198,1
247,43,876,1
248,43,769,1
249,43,736,1
250,43,212,1
251,43,943,1
252,43,506,1
253,43,783,1
254,43,639,1
255,43,493,1
256,43,635,1
257,43,117,1
258,43,625,1
259,43,44,1
260,43,908,1
261,43,184,1
262,43,198,1
263,43,649,1
264,43,819,1
265,43,739,1
266,43,311,1
267,43,882,1
268,43,784,1
269,43,154,1
270,43,919,1
271,43,497,1
272,43,134,1
273,43,239,1
274,43,330,1
275,43,188,1
276,43,650,1
277,43,613,1
278,43,174,1
279,43,424,1
280,47,896,1
281,47,751,1
282,47,700,1
283,47,8,1
284,47,638,1
285,47,624,1
286,47,445,1
287,47,377,1
288,47,779,1
289,48,789,1
290,54,641,1
291,54,465,1
292,54,874,1
293,54,788,1
294,54,22,1
295,54,144,1
296,54,581,1
297,54,749,1
298,54,115,1
299,54,520,1
300,54,41,1
301,54,441,1
302,54,250,1
303,54,470,1
304,54,211,1
305,54,499,1
306,54,515,1
307,54,945,1
308,54,317,1
309,57,864,1
310,57,54,1
311,57,874,1
312,57,233,1
313,57,515,1
314,57,641,1
315,57,662,1
316,57,499,1
317,57,250,1
318,57,475,1
319,57,319,1
320,57,520,1
321,57,147,1
322,57,211,1
323,57,901,1
324,64,96,1
325,64,736,1
326,64,463,1
327,64,41,1
328,64,186,1
329,64,496,1
330,64,94,1
331,64,233,1
332,64,874,1
333,64,901,1
334,64,363,1
335,64,85,1
336,64,936,1
337,64,190,1
338,64,788,1
339,64,319,1
340,64,515,1
341,64,4,1
342,64,40,1
343,64,386,1
344,64,112,1
345,64,520,1
346,64,105,1
347,64,137,1
348,64,477,1
349,64,484,1
350,64,103,1
351,64,700,1
352,64,610,1
353,64,475,1
354,64,226,1
355,64,54,1
356,64,24,1
357,64,117,1
358,64,211,1
359,64,946,1
360,64,242,1
361,64,538,1
362,64,195,1
363,64,370,1
364,64,838,1
365,64,216,1
366,64,67,1
367,64,115,1
368,64,476,1
369,64,864,1
370,64,296,1
371,64,148,1
372,64,220,1
373,64,916,1
374,64,634,1
375,64,745,1
376,64,307,1
377,64,750,1
378,66,486,1
379,67,8,1
380,67,831,1
381,67,700,1
382,67,484,1
383,67,481,1
384,67,374,1
385,67,104,1
386,67,792,1
387,67,441,1
388,67,575,1
389,67,333,1
390,67,41,1
391,67,567,1
392,67,377,1
393,67,303,1
394,67,11,1
395,67,731,1
396,67,96,1
397,67,64,1
398,67,123,1
399,67,751,1
400,67,314,1
401,67,499,1
402,67,624,1
403,67,864,1
404,67,445,1
405,67,815,1
406,67,604,1
407,69,749,1
408,71,249,1
409,72,43,1
410,72,506,1
411,72,245,1
412,72,639,1
413,72,378,1
414,72,424,1
415,72,329,1
416,72,188,1
417,72,282,1
418,72,563,1
419,72,330,1
420,72,29,1
421,72,919,1
422,72,311,1
423,72,784,1
424,72,613,1
425,72,512,1
426,72,172,1
427,72,625,1
428,72,178,1
429,72,493,1
430,72,593,1
431,72,679,1
432,72,549,1
433,72,606,1
434,72,876,1
435,72,819,1
436,72,497,1
437,72,790,1
438,72,174,1
439,72,650,1
440,72,528,1
441,73,294,1
442,74,691,1
443,74,393,1
444,74,249,1
445,80,312,1
446,81,544,1
447,85,916,1
448,85,195,1
449,85,741,1
450,85,556,1
451,85,687,1
452,85,623,1
453,85,892,1
454,85,106,1
455,85,932,1
456,85,905,1
457,85,320,1
458,85,470,1
459,85,876,1
460,85,365,1
461,85,902,1
462,85,539,1
463,85,124,1
464,85,482,1
465,85,528,1
466,85,515,1
467,85,141,1
468,85,254,1
469,85,485,1
470,85,441,1
471,85,311,1
472,85,96,1
473,85,368,1
474,85,838,1
475,85,864,1
476,85,406,1
477,85,319,1
478,85,639,1
479,85,906,1
480,87,600,1
481,87,195,1
482,87,470,1
483,87,364,1
484,87,161,1
485,87,192,1
486,87,560,1
487,87,945,1
488,87,409,1
489,87,510,1
490,87,15,1
491,87,911,1
492,87,583,1
493,89,160,1
494,89,657,1
495,89,858,1
496,89,623,1
497,89,253,1
498,89,824,1
499,89,365,1
500,89,84,1
501,89,562,1
502,89,514,1
503,89,633,1
504,89,600,1
505,89,26,1
506,89,99,1
507,90,278,1
508,90,317,1
509,96,198,1
510,96,38,1
511,96,850,1
512,96,220,1
513,96,242,1
514,96,148,1
515,96,864,1
516,96,750,1
517,96,581,1
518,96,328,1
519,96,838,1
520,96,128,1
521,96,441,1
522,96,216,1
523,96,786,1
524,96,916,1
525,96,465,1
526,96,745,1
527,96,482,1
528,96,481,1
529,96,307,1
530,96,24,1
531,96,296,1
532,96,749,1
533,96,662,1
534,96,642,1
535,96,94,1
536,96,634,1
537,96,211,1
538,96,456,1
539,96,687,1
540,96,901,1
541,96,681,1
542,96,496,1
543,96,64,1
544,96,406,1
545,96,190,1
546,96,186,1
547,96,854,1
548,96,499,1
549,96,387,1
550,96,700,1
551,96,233,1
552,96,610,1
553,96,343,1
554,96,40,1
555,96,386,1
556,96,250,1
557,96,946,1
558,96,736,1
559,96,788,1
560,96,115,1
561,96,475,1
562,98,550,1
563,99,253,1
564,106,85,1
565,106,694,1
566,106,856,1
567,106,182,1
568,106,238,1
569,106,538,1
570,106,406,1
571,108,418,1
572,108,438,1
573,111,447,1
574,111,93,1
575,112,441,1
576,112,104,1
577,112,662,1
578,112,276,1
579,112,801,1
580,112,333,1
581,112,121,1
582,112,477,1
583,112,64,1
584,112,339,1
585,112,779,1
586,112,103,1
587,112,374,1
588,112,554,1
589,112,250,1
590,112,499,1
591,112,700,1
592,112,505,1
593,112,414,1
594,112,319,1
595,112,144,1
596,112,864,1
597,112,96,1
598,112,515,1
599,112,896,1
600,113,720,1
601,113,816,1
602,114,36,1
603,115,96,1
604,115,915,1
605,115,581,1
606,115,656,1
607,115,441,1
608,115,319,1
609,115,515,1
610,115,679,1
611,115,498,1
612,115,64,1
613,116,501,1
614,116,676,1
615,116,711,1
616,116,725,1
617,118,461,1
618,121,8,1
619,121,792,1
620,121,546,1
621,121,700,1
622,121,772,1
623,121,575,1
624,121,815,1
625,121,714,1
626,121,554,1
627,121,212,1
628,121,638,1
629,121,441,1
630,121,624,1
631,121,67,1
632,121,654,1
633,121,365,1
634,122,852,1
635,124,249,1
636,124,182,1
637,124,85,1
638,124,588,1
639,124,39,1
640,124,575,1
641,124,254,1
642,124,623,1
643,124,608,1
644,124,539,1
645,124,932,1
646,124,854,1
647,125,540,1
648,125,365,1
649,125,804,1
650,125,585,1
651,125,469,1
652,125,721,1
653,127,505,1
654,127,382,1
655,127,590,1
656,127,812,1
657,127,41,1
658,127,69,1
659,127,496,1
660,127,314,1
661,127,445,1
662,127,946,1
663,127,441,1
664,127,220,1
665,128,105,1
666,128,481,1
667,128,300,1
668,128,642,1
669,128,370,1
670,128,64,1
671,128,515,1
672,128,220,1
673,128,662,1
674,128,946,1
675,128,24,1
676,128,669,1
677,128,500,1
678,128,387,1
679,128,319,1
680,128,496,1
681,128,94,1
682,128,137,1
683,128,681,1
684,129,379,1
685,129,763,1
686,129,892,1
687,129,424,1
688,129,141,1
689,129,172,1
690,129,804,1
691,129,819,1
692,129,482,1
693,131,22,1
694,131,691,1
695,131,506,1
696,132,657,1
697,132,824,1
698,133,773,1
699,133,676,1
700,133,648,1
701,133,939,1
702,133,461,1
703,133,850,1
704,137,745,1
705,137,41,1
706,137,523,1
707,137,64,1
708,137,600,1
709,137,96,1
710,137,296,1
711,137,750,1
712,137,892,1
713,137,548,1
714,137,186,1
715,137,500,1
716,137,946,1
717,137,220,1
718,137,242,1
719,137,888,1
720,137,515,1
721,137,105,1
722,137,496,1
723,137,924,1
724,137,481,1
725,137,669,1
726,137,387,1
727,137,358,1
728,137,662,1
729,137,642,1
730,139,905,1
731,139,37,1
732,139,854,1
733,139,39,1
734,139,275,1
735,139,351,1
736,139,902,1
737,139,28,1
738,141,249,1
739,141,86,1
740,141,365,1
741,141,482,1
742,141,873,1
743,141,892,1
744,141,485,1
745,141,804,1
746,141,423,1
747,141,29,1
748,141,852,1
749,141,310,1
750,141,129,1
751,141,751,1
752,141,205,1
753,141,85,1
754,141,238,1
755,141,438,1
756,141,888,1
757,141,763,1
758,141,768,1
759,141,752,1
760,141,360,1
761,141,736,1
762,141,539,1
763,144,641,1
764,144,749,1
765,144,477,1
766,144,901,1
767,144,375,1
768,144,41,1
769,144,475,1
770,144,96,1
771,144,515,1
772,144,520,1
773,144,54,1
774,144,864,1
775,144,441,1
776,146,250,1
777,150,225,1
778,153,600,1
779,153,55,1
780,153,604,1
781,156,727,1
782,156,63,1
783,156,661,1
784,156,68,1
785,156,44,1
786,156,739,1
787,156,39,1
788,156,687,1
789,156,154,1
790,156,935,1
791,156,40,1
792,156,239,1
793,156,532,1
794,157,205,1
795,161,945,1
796,161,15,1
797,161,591,1
798,161,87,1
799,161,672,1
800,167,310,1
801,169,310,1
802,172,249,1
803,172,639,1
804,172,679,1
805,172,784,1
806,172,769,1
807,172,485,1
808,172,29,1
809,172,188,1
