,TF,Target,Label
0,0,14,1
1,0,187,1
2,0,1127,1
3,0,470,1
4,0,755,1
5,0,1179,1
6,0,1143,1
7,0,996,1
8,0,1055,1
9,2,956,1
10,2,935,1
11,2,944,1
12,2,578,1
13,2,513,1
14,2,229,1
15,2,336,1
16,2,62,1
17,2,1136,1
18,2,1204,1
19,2,1283,1
20,2,579,1
21,2,832,1
22,2,1019,1
23,2,965,1
24,2,850,1
25,2,233,1
26,2,481,1
27,2,700,1
28,2,92,1
29,2,1062,1
30,2,1168,1
31,2,25,1
32,2,1020,1
33,2,604,1
34,2,827,1
35,2,907,1
36,2,605,1
37,2,694,1
38,2,180,1
39,2,625,1
40,2,810,1
41,2,81,1
42,2,781,1
43,2,906,1
44,2,533,1
45,2,324,1
46,2,945,1
47,2,469,1
48,2,531,1
49,8,956,1
50,8,716,1
51,8,578,1
52,8,827,1
53,8,944,1
54,8,1029,1
55,8,1088,1
56,8,607,1
57,8,125,1
58,8,233,1
59,8,1074,1
60,8,75,1
61,8,336,1
62,8,802,1
63,8,713,1
64,8,531,1
65,8,124,1
66,8,1204,1
67,8,142,1
68,8,522,1
69,8,62,1
70,8,173,1
71,8,1283,1
72,8,239,1
73,8,450,1
74,8,608,1
75,8,1158,1
76,8,1263,1
77,8,700,1
78,8,489,1
79,8,298,1
80,8,268,1
81,8,332,1
82,8,347,1
83,8,313,1
84,8,1076,1
85,8,625,1
86,8,908,1
87,11,1118,1
88,11,1057,1
89,11,1179,1
90,11,996,1
91,11,1055,1
92,11,732,1
93,11,192,1
94,11,589,1
95,14,1310,1
96,14,1019,1
97,14,1278,1
98,14,551,1
99,14,20,1
100,14,920,1
101,14,597,1
102,14,418,1
103,14,725,1
104,14,25,1
105,14,907,1
106,14,263,1
107,14,1127,1
108,14,878,1
109,14,27,1
110,14,927,1
111,14,187,1
112,14,1159,1
113,14,724,1
114,14,1055,1
115,14,1172,1
116,14,1133,1
117,14,417,1
118,14,215,1
119,14,961,1
120,14,455,1
121,14,692,1
122,14,1298,1
123,14,83,1
124,14,650,1
125,14,148,1
126,14,213,1
127,14,485,1
128,14,556,1
129,14,1181,1
130,14,591,1
131,14,940,1
132,14,26,1
133,14,1098,1
134,14,308,1
135,14,496,1
136,14,936,1
137,14,424,1
138,14,899,1
139,14,789,1
140,14,229,1
141,14,681,1
142,14,1106,1
143,14,861,1
144,14,986,1
145,14,736,1
146,14,585,1
147,14,1312,1
148,14,238,1
149,14,732,1
150,14,1014,1
151,14,89,1
152,14,605,1
153,14,1026,1
154,14,1238,1
155,14,792,1
156,14,658,1
157,14,251,1
158,14,196,1
159,14,1089,1
160,14,81,1
161,14,728,1
162,14,1301,1
163,14,996,1
164,14,699,1
165,14,842,1
166,14,1179,1
167,14,1031,1
168,14,767,1
169,14,386,1
170,14,952,1
171,15,1244,1
172,15,83,1
173,15,1311,1
174,15,126,1
175,15,1314,1
176,15,251,1
177,15,682,1
178,15,1041,1
179,15,1237,1
180,15,568,1
181,15,1283,1
182,15,1193,1
183,15,1159,1
184,15,705,1
185,15,544,1
186,16,180,1
187,16,418,1
188,16,2,1
189,16,781,1
190,16,413,1
191,16,148,1
192,16,25,1
193,16,1019,1
194,16,469,1
195,16,605,1
196,20,14,1
197,20,220,1
198,20,251,1
199,20,506,1
200,20,316,1
201,20,1181,1
202,20,736,1
203,20,809,1
204,20,1064,1
205,21,795,1
206,21,1019,1
207,21,907,1
208,21,418,1
209,21,413,1
210,21,533,1
211,21,878,1
212,21,2,1
213,21,148,1
214,21,180,1
215,23,654,1
216,25,1055,1
217,25,196,1
218,25,462,1
219,25,650,1
220,25,1118,1
221,25,681,1
222,25,205,1
223,25,89,1
224,25,1106,1
225,25,804,1
226,25,230,1
227,25,74,1
228,25,936,1
229,25,413,1
230,25,656,1
231,25,716,1
232,25,1008,1
233,25,16,1
234,25,885,1
235,25,1030,1
236,25,921,1
237,25,1311,1
238,25,187,1
239,25,1244,1
240,25,848,1
241,25,578,1
242,25,238,1
243,25,907,1
244,25,832,1
245,25,21,1
246,25,679,1
247,25,878,1
248,25,1015,1
249,25,1301,1
250,25,355,1
251,25,148,1
252,25,795,1
253,25,829,1
254,25,126,1
255,25,899,1
256,25,705,1
257,25,390,1
258,25,996,1
259,25,605,1
260,25,161,1
261,25,1283,1
262,25,1167,1
263,25,168,1
264,25,311,1
265,25,952,1
266,25,14,1
267,25,851,1
268,31,251,1
269,32,173,1
270,32,809,1
271,32,682,1
272,32,882,1
273,32,1268,1
274,32,450,1
275,32,489,1
276,33,1230,1
277,33,857,1
278,33,139,1
279,33,971,1
280,33,1164,1
281,33,142,1
282,40,187,1
283,40,14,1
284,40,1089,1
285,40,1127,1
286,40,996,1
287,48,144,1
288,48,1164,1
289,48,463,1
290,48,99,1
291,48,728,1
292,68,83,1
293,68,20,1
294,68,506,1
295,68,316,1
296,70,1231,1
297,70,1252,1
298,74,148,1
299,74,230,1
300,74,829,1
301,74,952,1
302,74,679,1
303,74,837,1
304,74,605,1
305,74,795,1
306,74,663,1
307,74,804,1
308,74,339,1
309,74,25,1
310,74,919,1
311,74,885,1
312,74,878,1
313,74,1019,1
314,82,512,1
315,82,414,1
316,82,1075,1
317,83,355,1
318,83,716,1
319,83,1046,1
320,83,705,1
321,83,469,1
322,83,413,1
323,83,921,1
324,83,3,1
325,83,14,1
326,83,1135,1
327,83,831,1
328,83,878,1
329,83,832,1
330,83,1019,1
331,83,15,1
332,83,251,1
333,83,126,1
334,83,475,1
335,83,1193,1
336,83,1020,1
337,83,481,1
338,83,1305,1
339,83,506,1
340,83,1120,1
341,83,867,1
342,83,605,1
343,83,220,1
344,83,1244,1
345,83,20,1
