,TF,Target,Label
0,0,1234,1
1,3,1044,1
2,3,1271,1
3,3,360,1
4,3,405,1
5,3,1261,1
6,3,1389,1
7,3,730,1
8,3,1546,1
9,3,854,1
10,4,1329,1
11,4,1093,1
12,4,581,1
13,9,1305,1
14,9,967,1
15,9,287,1
16,9,961,1
17,9,1329,1
18,9,217,1
19,9,1373,1
20,9,96,1
21,9,520,1
22,9,1418,1
23,9,1457,1
24,9,417,1
25,9,390,1
26,9,1152,1
27,9,254,1
28,9,1133,1
29,9,205,1
30,9,45,1
31,9,1070,1
32,12,856,1
33,12,639,1
34,12,741,1
35,12,131,1
36,12,1034,1
37,12,955,1
38,12,794,1
39,21,1230,1
40,26,624,1
41,26,1470,1
42,26,1522,1
43,26,581,1
44,26,108,1
45,26,1204,1
46,26,27,1
47,26,1086,1
48,26,1380,1
49,26,417,1
50,26,885,1
51,26,1513,1
52,26,1280,1
53,26,1060,1
54,26,161,1
55,26,729,1
56,26,717,1
57,26,1116,1
58,26,1329,1
59,26,294,1
60,26,1170,1
61,26,1589,1
62,26,73,1
63,26,381,1
64,26,1036,1
65,26,641,1
66,26,1382,1
67,26,1158,1
68,26,754,1
69,26,687,1
70,26,18,1
71,27,56,1
72,27,191,1
73,27,1329,1
74,27,1571,1
75,27,409,1
76,27,389,1
77,27,164,1
78,27,834,1
79,27,631,1
80,27,641,1
81,27,648,1
82,27,990,1
83,27,26,1
84,27,392,1
85,27,1457,1
86,27,299,1
87,27,611,1
88,27,76,1
89,27,729,1
90,27,687,1
91,27,692,1
92,27,817,1
93,27,480,1
94,27,972,1
95,27,1093,1
96,27,233,1
97,27,1354,1
98,27,390,1
99,27,1158,1
100,27,563,1
101,27,995,1
102,27,1085,1
103,33,775,1
104,33,786,1
105,33,383,1
106,33,1571,1
107,33,729,1
108,33,131,1
109,33,1513,1
110,33,754,1
111,33,1317,1
112,45,1240,1
113,45,581,1
114,45,421,1
115,45,96,1
116,45,576,1
117,45,1334,1
118,45,1329,1
119,45,1373,1
120,45,463,1
121,45,669,1
122,45,1418,1
123,45,646,1
124,45,649,1
125,45,413,1
126,45,417,1
127,45,1133,1
128,45,73,1
129,45,1305,1
130,45,1078,1
131,45,727,1
132,45,217,1
133,49,649,1
134,52,75,1
135,52,1432,1
136,52,210,1
137,52,1258,1
138,54,1513,1
139,54,1220,1
140,54,209,1
141,54,1261,1
142,56,493,1
143,56,27,1
144,56,817,1
145,56,74,1
146,56,1181,1
147,56,1230,1
148,56,1473,1
149,60,1501,1
150,61,1516,1
151,61,859,1
152,61,1261,1
153,61,262,1
154,61,357,1
155,61,730,1
156,61,911,1
157,61,182,1
158,61,428,1
159,61,665,1
160,61,1036,1
161,61,554,1
162,61,910,1
163,61,1326,1
164,63,182,1
165,73,89,1
166,73,576,1
167,73,1093,1
168,73,1206,1
169,73,836,1
170,73,164,1
171,73,775,1
172,73,741,1
173,73,1577,1
174,73,445,1
175,73,834,1
176,73,493,1
177,73,1159,1
178,73,1261,1
179,73,687,1
180,73,474,1
181,73,955,1
182,73,1389,1
183,73,76,1
184,73,1473,1
185,73,82,1
186,73,26,1
187,73,281,1
188,73,1303,1
189,73,1125,1
190,73,1533,1
191,73,730,1
192,73,1280,1
193,73,1329,1
194,73,417,1
195,73,581,1
196,73,267,1
197,73,1458,1
198,73,845,1
199,73,1589,1
200,73,1165,1
201,73,1204,1
202,73,579,1
203,73,1111,1
204,73,161,1
205,73,329,1
206,73,233,1
207,73,1565,1
208,73,278,1
209,73,1425,1
210,73,1517,1
211,73,1470,1
212,73,1332,1
213,73,866,1
214,73,1506,1
215,75,1458,1
216,75,383,1
217,75,834,1
218,75,859,1
219,75,1577,1
220,75,1436,1
221,75,381,1
222,75,52,1
223,75,1284,1
224,76,1513,1
225,76,250,1
226,76,1332,1
227,76,377,1
228,76,412,1
229,76,1319,1
230,76,164,1
231,76,963,1
232,76,73,1
233,76,528,1
234,76,1088,1
235,76,815,1
236,76,1473,1
237,76,804,1
238,76,1477,1
239,76,89,1
240,76,379,1
241,76,1013,1
242,76,493,1
243,76,1566,1
244,76,729,1
245,76,355,1
246,76,1389,1
247,76,329,1
248,76,3,1
249,76,96,1
250,76,1207,1
251,76,82,1
252,79,1445,1
253,79,141,1
254,79,1268,1
255,79,856,1
256,79,658,1
257,79,164,1
258,79,1552,1
259,82,1533,1
260,82,1261,1
261,82,1102,1
262,82,76,1
263,82,373,1
264,82,665,1
265,82,579,1
266,82,807,1
267,82,1473,1
268,82,1157,1
269,82,474,1
270,82,1617,1
271,82,808,1
272,82,300,1
273,82,108,1
274,82,384,1
275,82,172,1
276,82,578,1
277,82,652,1
278,82,886,1
279,89,73,1
280,89,1477,1
281,89,1183,1
282,89,294,1
283,89,360,1
284,89,300,1
285,89,1518,1
286,89,1591,1
287,89,140,1
288,89,355,1
289,89,173,1
290,89,379,1
291,89,1473,1
292,89,1261,1
293,89,82,1
294,89,560,1
295,89,639,1
296,89,815,1
297,89,116,1
298,89,1244,1
299,89,650,1
300,89,76,1
301,89,775,1
302,89,730,1
303,89,1101,1
304,89,729,1
305,93,351,1
306,93,1154,1
307,93,362,1
308,93,406,1
309,104,991,1
310,104,1395,1
311,104,1174,1
312,104,841,1
313,107,871,1
314,107,659,1
315,107,881,1
316,107,1136,1
317,107,854,1
318,107,1091,1
319,108,300,1
320,108,1157,1
321,108,161,1
322,108,940,1
323,108,1589,1
324,108,730,1
325,108,445,1
326,108,73,1
327,108,278,1
328,108,1310,1
329,108,381,1
330,108,741,1
331,108,182,1
332,108,955,1
333,108,560,1
334,108,1204,1
335,108,1577,1
336,108,775,1
337,108,687,1
338,108,116,1
339,108,1473,1
340,108,493,1
341,108,26,1
342,108,89,1
343,108,1093,1
344,108,1506,1
345,108,1513,1
346,108,1565,1
347,110,646,1
348,122,1298,1
349,122,299,1
350,122,773,1
351,122,250,1
352,122,73,1
353,122,533,1
354,122,1261,1
355,122,547,1
356,122,561,1
357,122,1373,1
358,122,275,1
359,122,834,1
360,122,493,1
361,122,1170,1
362,122,1140,1
363,122,576,1
364,122,417,1
365,123,360,1
366,123,1133,1
367,123,196,1
368,123,856,1
369,123,1278,1
370,123,754,1
371,130,475,1
372,131,911,1
373,131,33,1
374,131,233,1
375,131,929,1
376,131,786,1
377,131,1402,1
378,131,836,1
379,131,299,1
380,131,74,1
381,131,383,1
382,131,1022,1
383,131,169,1
384,131,618,1
385,131,794,1
386,131,1473,1
387,131,1552,1
