,TF,Target,Label
0,13,28,1
1,13,97,1
2,13,463,1
3,13,343,1
4,13,431,1
5,13,229,1
6,14,368,1
7,14,548,1
8,14,207,1
9,14,153,1
10,14,385,1
11,14,443,1
12,14,142,1
13,14,257,1
14,14,579,1
15,14,455,1
16,14,149,1
17,14,83,1
18,14,320,1
19,14,353,1
20,14,334,1
21,14,497,1
22,14,141,1
23,14,451,1
24,14,504,1
25,14,511,1
26,14,297,1
27,14,642,1
28,14,681,1
29,14,479,1
30,14,608,1
31,14,70,1
32,14,402,1
33,15,690,1
34,17,606,1
35,20,24,1
36,37,83,1
37,37,209,1
38,37,518,1
39,37,234,1
40,37,402,1
41,37,207,1
42,37,642,1
43,37,81,1
44,37,82,1
45,37,70,1
46,37,353,1
47,37,440,1
48,37,257,1
49,37,548,1
50,37,385,1
51,37,511,1
52,37,305,1
53,37,703,1
54,37,504,1
55,37,325,1
56,37,405,1
57,37,558,1
58,37,11,1
59,37,636,1
60,37,149,1
61,37,574,1
62,37,497,1
63,37,213,1
64,37,14,1
65,37,608,1
66,37,689,1
67,37,457,1
68,37,681,1
69,37,1,1
70,38,615,1
71,38,74,1
72,38,57,1
73,39,512,1
74,48,313,1
75,48,578,1
76,48,642,1
77,48,207,1
78,48,54,1
79,48,84,1
80,48,115,1
81,48,70,1
82,48,171,1
83,48,164,1
84,48,221,1
85,48,659,1
86,49,590,1
87,49,455,1
88,49,115,1
89,49,644,1
90,49,361,1
91,49,83,1
92,49,353,1
93,49,296,1
94,50,374,1
95,50,412,1
96,50,160,1
97,57,571,1
98,57,534,1
99,57,38,1
100,57,195,1
101,57,320,1
102,57,74,1
103,57,649,1
104,57,315,1
105,57,472,1
106,57,602,1
107,65,571,1
108,65,431,1
109,65,245,1
110,65,97,1
111,65,623,1
112,65,229,1
113,65,498,1
114,65,296,1
115,69,296,1
116,69,343,1
117,69,111,1
118,71,411,1
119,71,588,1
120,71,361,1
121,74,615,1
122,74,57,1
123,74,512,1
124,74,38,1
125,74,571,1
126,80,558,1
127,80,479,1
128,97,588,1
129,97,654,1
130,97,320,1
131,97,412,1
132,97,13,1
133,97,286,1
134,97,251,1
135,97,483,1
136,97,646,1
137,97,249,1
138,97,427,1
139,97,431,1
140,99,251,1
141,101,469,1
142,101,251,1
143,101,509,1
144,101,121,1
145,101,483,1
146,101,323,1
147,111,69,1
148,111,674,1
149,111,493,1
150,111,494,1
151,112,623,1
152,112,535,1
153,117,586,1
154,119,580,1
155,127,454,1
156,127,488,1
157,128,540,1
158,134,81,1
159,134,688,1
160,134,415,1
161,139,320,1
162,139,600,1
163,139,696,1
164,139,615,1
165,140,353,1
166,141,608,1
167,141,458,1
168,141,402,1
169,141,14,1
170,141,171,1
171,141,84,1
172,141,37,1
173,141,153,1
174,141,479,1
175,141,497,1
176,141,558,1
177,141,353,1
178,141,149,1
179,141,1,1
180,141,142,1
181,141,70,1
182,141,455,1
183,141,227,1
184,141,207,1
185,141,11,1
186,141,83,1
187,141,647,1
188,141,518,1
189,141,334,1
190,141,234,1
191,141,385,1
192,146,606,1
193,146,623,1
194,152,299,1
195,154,635,1
196,154,410,1
197,154,98,1
198,154,224,1
199,154,604,1
200,159,412,1
201,160,431,1
202,160,588,1
203,160,50,1
204,160,245,1
205,177,472,1
206,177,563,1
207,177,649,1
208,177,57,1
209,177,315,1
210,177,519,1
211,177,579,1
212,177,497,1
213,177,512,1
214,178,227,1
215,178,606,1
216,178,638,1
217,188,229,1
218,190,32,1
219,195,38,1
220,195,512,1
221,195,57,1
222,213,171,1
223,213,207,1
224,213,458,1
225,213,164,1
226,213,305,1
227,213,70,1
228,213,511,1
229,213,149,1
230,213,689,1
231,213,642,1
232,213,37,1
233,213,368,1
234,213,325,1
235,213,95,1
236,213,334,1
237,213,103,1
238,213,297,1
239,213,636,1
240,213,558,1
241,213,141,1
242,213,82,1
243,213,83,1
244,213,62,1
245,213,142,1
246,213,84,1
247,213,504,1
248,213,353,1
249,226,510,1
250,226,320,1
251,226,330,1
252,229,65,1
253,229,198,1
254,229,588,1
255,229,13,1
256,231,642,1
257,231,171,1
258,231,1,1
259,231,518,1
260,231,636,1
261,231,70,1
262,231,353,1
263,238,415,1
264,238,690,1
265,238,587,1
266,239,215,1
267,239,124,1
268,239,591,1
269,239,383,1
270,239,699,1
271,239,601,1
272,239,665,1
273,239,24,1
274,239,171,1
275,244,421,1
276,244,374,1
277,244,97,1
278,244,361,1
279,249,343,1
280,249,97,1
281,251,343,1
282,251,391,1
283,251,323,1
284,251,521,1
285,251,614,1
286,251,178,1
287,251,99,1
288,251,291,1
289,251,101,1
290,267,326,1
291,291,654,1
292,291,111,1
293,291,493,1
294,296,65,1
295,296,654,1
296,296,49,1
297,296,69,1
298,305,84,1
299,305,142,1
300,305,1,1
301,305,70,1
302,305,455,1
303,305,103,1
304,305,497,1
305,305,62,1
306,305,257,1
307,305,608,1
308,305,353,1
309,305,37,1
310,305,141,1
311,305,574,1
312,305,479,1
313,305,548,1
314,305,171,1
315,305,511,1
316,305,558,1
317,305,458,1
318,305,297,1
319,305,443,1
320,305,681,1
321,305,385,1
322,305,40,1
323,305,402,1
324,305,11,1
325,307,402,1
326,307,479,1
327,307,153,1
328,307,497,1
329,307,511,1
330,307,297,1
331,317,494,1
332,320,14,1
333,320,315,1
334,320,600,1
335,320,579,1
336,320,472,1
337,320,571,1
338,320,402,1
339,320,615,1
340,320,690,1
341,320,97,1
342,320,177,1
343,320,649,1
344,320,497,1
345,320,483,1
346,320,510,1
347,320,195,1
348,320,639,1
349,320,685,1
350,320,226,1
351,320,563,1
352,320,173,1
353,323,251,1
354,323,101,1
355,323,384,1
356,326,267,1
357,330,510,1
358,343,249,1
359,343,431,1
360,343,69,1
361,344,139,1
362,354,442,1
363,354,340,1
364,354,359,1
365,358,564,1
366,358,579,1
367,358,307,1
368,358,497,1
369,359,416,1
370,359,8,1
371,359,354,1
372,361,694,1
373,361,71,1
374,361,421,1
375,361,49,1
376,361,595,1
377,362,574,1
378,362,353,1
379,362,518,1
380,362,578,1
381,362,516,1
382,362,1,1
383,362,82,1
384,362,171,1
385,362,636,1
386,365,374,1
387,366,190,1
388,374,660,1
389,374,431,1
390,374,365,1
391,374,245,1
392,374,211,1
393,374,244,1
394,374,116,1
395,374,571,1
396,374,654,1
397,374,65,1
398,374,421,1
399,374,160,1
400,374,585,1
401,376,654,1
402,383,416,1
403,383,610,1
404,383,239,1
405,383,24,1
406,383,543,1
407,383,601,1
408,383,300,1
409,383,8,1
410,383,124,1
411,383,665,1
412,383,439,1
413,383,336,1
414,384,99,1
415,384,251,1
416,391,111,1
417,410,98,1
418,411,76,1
419,412,97,1
420,412,160,1
421,412,431,1
422,412,50,1
423,420,606,1
424,421,286,1
425,421,244,1
426,421,613,1
427,421,340,1
428,421,654,1
429,421,71,1
430,421,374,1
431,422,452,1
432,423,103,1
433,423,207,1
434,423,636,1
435,423,689,1
436,423,504,1
437,423,440,1
438,423,451,1
439,423,171,1
440,425,262,1
441,427,431,1
442,431,374,1
443,431,412,1
444,431,427,1
445,431,65,1
446,431,160,1
447,431,571,1
448,431,588,1
449,432,699,1
450,432,665,1
451,432,383,1
452,438,498,1
453,439,383,1
454,439,416,1
455,442,416,1
456,442,8,1
457,442,249,1
458,454,86,1
459,454,299,1
460,454,529,1
461,454,683,1
462,454,605,1
463,454,236,1
464,457,86,1
465,457,299,1
466,469,101,1
467,474,587,1
468,479,257,1
469,479,149,1
470,479,171,1
471,479,636,1
472,479,62,1
473,479,689,1
474,479,37,1
475,479,703,1
476,479,385,1
477,479,82,1
478,479,358,1
479,479,511,1
480,479,658,1
481,479,209,1
482,479,458,1
483,479,80,1
484,479,14,1
485,479,451,1
486,479,141,1
487,479,504,1
488,479,368,1
489,479,84,1
490,479,353,1
491,479,443,1
492,493,483,1
493,493,296,1
494,493,111,1
495,493,571,1
496,493,101,1
497,493,688,1
498,494,251,1
499,494,244,1
500,498,190,1
501,498,65,1
502,498,668,1
503,498,481,1
504,498,376,1
505,509,510,1
506,509,291,1
507,510,226,1
508,510,320,1
509,510,330,1
510,512,639,1
511,512,602,1
512,512,497,1
513,512,563,1
514,512,685,1
515,512,690,1
516,512,39,1
517,512,579,1
518,512,564,1
519,512,320,1
520,521,251,1
521,527,70,1
522,527,171,1
523,527,642,1
524,527,221,1
525,527,84,1
526,527,11,1
527,527,313,1
528,527,574,1
529,527,336,1
530,527,624,1
531,527,227,1
