,TF,Target,Label
0,2,619,1
1,11,377,1
2,13,437,1
3,13,241,1
4,13,517,1
5,21,378,1
6,24,611,1
7,24,311,1
8,24,111,1
9,24,167,1
10,35,221,1
11,35,319,1
12,35,195,1
13,35,220,1
14,35,222,1
15,35,576,1
16,35,275,1
17,35,488,1
18,35,205,1
19,35,41,1
20,35,153,1
21,35,261,1
22,35,164,1
23,35,443,1
24,35,587,1
25,35,31,1
26,41,565,1
27,41,99,1
28,41,309,1
29,41,489,1
30,41,455,1
31,41,403,1
32,41,237,1
33,41,421,1
34,41,532,1
35,41,220,1
36,41,471,1
37,41,566,1
38,41,614,1
39,41,240,1
40,41,52,1
41,41,256,1
42,41,251,1
43,41,167,1
44,41,254,1
45,41,508,1
46,41,611,1
47,41,229,1
48,62,195,1
49,92,567,1
50,93,261,1
51,93,161,1
52,93,277,1
53,93,604,1
54,93,611,1
55,93,321,1
56,112,217,1
57,112,241,1
58,112,551,1
59,112,523,1
60,112,80,1
61,112,187,1
62,112,30,1
63,118,563,1
64,118,261,1
65,118,166,1
66,119,26,1
67,131,377,1
68,137,167,1
69,137,566,1
70,137,489,1
71,137,256,1
72,153,576,1
73,153,221,1
74,153,275,1
75,155,118,1
76,155,261,1
77,155,570,1
78,158,421,1
79,158,443,1
80,158,508,1
81,158,271,1
82,158,220,1
83,158,565,1
84,166,261,1
85,174,337,1
86,187,261,1
87,187,38,1
88,187,217,1
89,187,305,1
90,193,567,1
91,195,72,1
92,195,164,1
93,195,153,1
94,195,576,1
95,195,446,1
96,195,220,1
97,195,35,1
98,195,508,1
99,195,62,1
100,196,98,1
101,196,271,1
102,205,195,1
103,205,291,1
104,205,625,1
105,205,425,1
106,205,169,1
107,205,263,1
108,205,606,1
109,205,152,1
110,216,611,1
111,216,489,1
112,216,111,1
113,216,467,1
114,221,587,1
115,221,35,1
116,221,576,1
117,221,153,1
118,221,16,1
119,221,509,1
120,222,31,1
121,229,111,1
122,229,271,1
123,229,164,1
124,229,508,1
125,229,550,1
126,229,266,1
127,229,243,1
128,229,196,1
129,229,565,1
130,229,251,1
131,229,443,1
132,229,158,1
133,229,489,1
134,229,464,1
135,229,403,1
136,229,309,1
137,229,26,1
138,229,71,1
139,234,31,1
140,238,92,1
141,243,41,1
142,243,254,1
143,243,471,1
144,243,71,1
145,243,464,1
146,243,421,1
147,243,240,1
148,243,455,1
149,243,229,1
150,243,111,1
151,243,614,1
152,243,98,1
153,243,309,1
154,243,266,1
155,243,220,1
156,243,566,1
157,243,559,1
158,243,508,1
159,243,52,1
160,243,164,1
161,243,611,1
162,243,479,1
163,256,52,1
164,256,237,1
165,256,402,1
166,256,550,1
167,256,309,1
168,256,72,1
169,256,443,1
170,256,220,1
171,256,566,1
172,256,254,1
173,256,243,1
174,256,491,1
175,256,266,1
176,256,403,1
177,256,565,1
178,256,164,1
179,256,611,1
180,256,191,1
181,256,421,1
182,256,167,1
183,256,26,1
184,256,559,1
185,256,99,1
186,260,93,1
187,260,288,1
188,260,46,1
189,261,166,1
190,261,570,1
191,261,554,1
192,261,118,1
193,261,35,1
194,261,469,1
195,261,31,1
196,261,93,1
197,263,425,1
198,263,593,1
199,263,342,1
200,263,291,1
201,263,38,1
202,263,530,1
203,263,539,1
204,263,514,1
205,263,624,1
206,263,144,1
207,263,186,1
208,263,177,1
209,263,606,1
210,263,152,1
211,266,402,1
212,266,489,1
213,266,403,1
214,266,508,1
215,266,111,1
216,266,471,1
217,266,479,1
218,266,254,1
219,266,256,1
220,266,167,1
221,266,229,1
222,266,251,1
223,266,468,1
224,266,191,1
225,266,309,1
226,266,421,1
227,266,240,1
228,266,71,1
229,266,559,1
230,266,164,1
231,266,565,1
232,271,446,1
233,271,237,1
234,271,158,1
235,271,508,1
236,271,443,1
237,271,565,1
238,277,377,1
239,277,93,1
240,288,260,1
241,289,567,1
242,304,31,1
243,304,193,1
244,304,319,1
245,311,24,1
246,315,31,1
247,315,321,1
248,315,277,1
249,319,31,1
250,321,469,1
251,321,229,1
252,321,529,1
253,321,235,1
254,322,527,1
255,322,112,1
256,322,30,1
257,322,143,1
258,326,517,1
259,326,437,1
260,326,241,1
261,326,76,1
262,338,31,1
263,339,570,1
264,377,500,1
265,377,141,1
266,377,261,1
267,377,277,1
268,377,486,1
269,377,262,1
270,377,189,1
271,377,224,1
272,377,499,1
273,378,351,1
274,378,21,1
275,402,229,1
276,402,72,1
277,402,251,1
278,402,220,1
279,402,84,1
280,402,403,1
281,402,71,1
282,402,164,1
283,402,532,1
284,402,566,1
285,402,167,1
286,402,237,1
287,402,99,1
288,402,565,1
289,402,309,1
290,402,611,1
291,402,464,1
292,402,52,1
293,402,508,1
294,402,471,1
295,402,111,1
296,403,164,1
297,403,614,1
298,403,111,1
299,403,41,1
300,403,455,1
301,403,559,1
302,403,489,1
303,403,421,1
304,403,256,1
305,403,611,1
306,403,443,1
307,403,464,1
308,403,229,1
309,403,52,1
310,403,566,1
311,403,565,1
312,403,204,1
313,403,266,1
314,403,84,1
315,403,237,1
316,403,99,1
317,403,243,1
318,403,508,1
319,403,240,1
320,446,606,1
321,446,271,1
322,446,421,1
323,446,443,1
324,446,35,1
325,446,237,1
326,446,508,1
327,446,195,1
328,448,378,1
329,451,551,1
330,451,180,1
331,451,80,1
332,451,527,1
333,467,602,1
334,467,579,1
335,467,575,1
336,467,216,1
337,467,86,1
338,467,489,1
339,467,292,1
340,469,165,1
341,469,339,1
342,469,439,1
343,469,321,1
344,475,587,1
345,486,377,1
346,486,499,1
347,499,486,1
348,499,377,1
349,509,35,1
350,509,440,1
351,509,587,1
352,526,529,1
353,529,251,1
354,529,240,1
355,529,567,1
356,548,144,1
357,548,263,1
358,548,94,1
359,551,112,1
360,551,187,1
361,551,180,1
362,551,80,1
363,551,12,1
364,551,322,1
365,551,183,1
366,554,261,1
367,556,576,1
368,563,118,1
369,564,570,1
370,567,442,1
371,567,238,1
372,567,193,1
373,567,92,1
374,567,289,1
375,570,539,1
376,570,447,1
377,570,177,1
378,570,339,1
379,570,155,1
380,570,409,1
381,570,260,1
382,570,364,1
383,570,439,1
384,570,530,1
385,570,342,1
386,570,564,1
387,576,221,1
388,576,556,1
389,576,35,1
390,586,437,1
391,587,362,1
392,587,35,1
393,587,475,1
394,588,315,1
395,589,377,1
396,599,271,1
397,599,237,1
398,599,446,1
399,599,351,1
400,614,164,1
401,614,403,1
402,614,421,1
403,614,508,1
404,614,471,1
405,614,191,1
406,614,455,1
407,614,256,1
408,614,565,1
409,614,266,1
410,614,72,1
411,614,491,1
412,619,315,1
413,266,625,0
414,551,115,0
415,137,478,0
416,174,20,0
417,131,225,0
418,238,340,0
419,263,199,0
420,205,387,0
421,166,202,0
422,546,589,0
423,315,394,0
424,588,451,0
425,563,133,0
426,628,135,0
427,315,236,0
428,166,528,0
429,37,241,0
430,529,23,0
431,551,553,0
432,155,502,0
433,37,324,0
434,193,83,0
435,196,298,0
436,475,223,0
437,119,629,0
438,467,439,0
439,35,482,0
440,158,481,0
441,29,358,0
442,266,377,0
443,554,342,0
444,315,270,0
445,586,134,0
446,222,487,0
447,322,506,0
448,41,29,0
449,446,459,0
450,587,120,0
451,166,436,0
452,589,511,0
453,112,123,0
454,155,592,0
455,29,211,0
456,112,417,0
457,261,449,0
458,338,428,0
459,475,576,0
460,155,334,0
461,576,552,0
462,319,184,0
463,319,84,0
464,21,398,0
465,266,89,0
466,529,494,0
467,442,388,0
468,548,500,0
469,614,360,0
470,377,511,0
471,377,179,0
472,475,169,0
473,277,350,0
474,260,153,0
475,277,194,0
476,589,561,0
477,261,628,0
478,24,616,0
479,256,168,0
480,451,365,0
481,158,263,0
482,486,158,0
483,469,591,0
484,41,178,0
485,499,612,0
486,576,145,0
487,604,231,0
488,378,489,0
489,338,218,0
490,453,1,0
491,567,460,0
492,271,249,0
493,546,296,0
494,288,130,0
495,11,499,0
496,402,345,0
497,263,11,0
498,551,388,0
499,277,535,0
500,24,249,0
501,526,258,0
502,158,256,0
503,289,3,0
504,446,532,0
505,2,210,0
506,556,239,0
507,270,359,0
508,29,368,0
509,604,627,0
510,546,149,0
511,93,584,0
512,595,357,0
513,556,376,0
514,526,391,0
515,567,457,0
516,589,452,0
517,604,268,0
518,21,238,0
519,589,0,0
520,556,86,0
521,586,241,0
522,37,393,0
523,614,314,0
524,486,70,0
525,2,428,0
526,467,267,0
527,319,563,0
528,35,285,0
529,222,249,0
530,453,353,0
531,261,112,0
532,448,455,0
533,155,414,0
534,158,291,0
535,196,444,0
536,37,625,0
537,587,576,0
538,551,610,0
539,529,400,0
540,92,256,0
541,35,121,0
542,339,221,0
543,546,449,0
544,326,157,0
545,338,347,0
546,261,105,0
547,21,166,0
548,174,156,0
549,21,424,0
550,243,568,0
551,475,97,0
552,548,211,0
553,92,598,0
554,271,514,0
555,21,414,0
556,234,386,0
557,594,44,0
558,563,340,0
559,402,50,0
560,260,262,0
561,174,106,0
562,319,234,0
563,112,195,0
564,11,603,0
565,319,332,0
566,453,540,0
567,486,303,0
568,564,478,0
569,271,281,0
570,93,84,0
571,222,292,0
572,195,292,0
573,35,520,0
574,451,290,0
575,469,230,0
