,TF,Target,Label
0,8,371,1
1,39,454,1
2,97,470,1
3,97,128,1
4,97,590,1
5,107,435,1
6,109,580,1
7,122,583,1
8,148,384,1
9,148,655,1
10,148,560,1
11,150,649,1
12,193,246,1
13,208,649,1
14,229,621,1
15,229,499,1
16,229,400,1
17,229,368,1
18,229,133,1
19,229,546,1
20,229,580,1
21,291,331,1
22,330,463,1
23,331,691,1
24,331,291,1
25,333,494,1
26,368,189,1
27,368,340,1
28,368,133,1
29,368,229,1
30,368,571,1
31,368,580,1
32,368,400,1
33,371,8,1
34,384,517,1
35,384,148,1
36,384,691,1
37,389,589,1
38,400,463,1
39,400,189,1
40,400,229,1
41,400,550,1
42,400,546,1
43,400,571,1
44,400,499,1
45,406,208,1
46,435,262,1
47,435,655,1
48,435,549,1
49,435,331,1
50,436,25,1
51,436,560,1
52,442,109,1
53,462,384,1
54,494,333,1
55,494,691,1
56,506,40,1
57,560,407,1
58,560,195,1
59,560,607,1
60,560,690,1
61,560,155,1
62,560,41,1
63,560,115,1
64,560,617,1
65,560,432,1
66,560,651,1
67,583,208,1
68,589,389,1
69,632,435,1
70,649,208,1
71,649,40,1
72,649,583,1
73,655,517,1
74,655,580,1
75,655,435,1
76,655,691,1
77,687,454,1
78,690,560,1
79,691,147,1
80,691,580,1
81,691,494,1
82,691,384,1
83,442,632,0
84,632,239,0
85,687,306,0
86,208,659,0
87,148,74,0
88,506,132,0
89,107,337,0
90,109,582,0
91,368,331,0
92,384,445,0
93,436,350,0
94,560,687,0
95,368,167,0
96,400,154,0
97,229,489,0
98,333,582,0
99,371,395,0
100,8,656,0
101,8,56,0
102,371,32,0
103,655,171,0
104,506,410,0
105,291,138,0
106,122,418,0
107,436,70,0
108,8,430,0
109,148,412,0
110,583,365,0
111,109,609,0
112,649,191,0
113,229,553,0
114,229,330,0
115,560,660,0
116,583,44,0
117,122,339,0
118,690,207,0
119,436,161,0
120,291,602,0
121,122,101,0
122,229,5,0
123,333,249,0
124,107,186,0
125,589,234,0
126,435,654,0
127,655,306,0
128,148,121,0
129,687,63,0
130,506,388,0
131,333,606,0
132,371,155,0
133,589,304,0
134,109,537,0
135,368,174,0
136,691,201,0
137,148,494,0
138,406,62,0
139,442,484,0
140,435,303,0
141,494,28,0
142,150,489,0
143,436,502,0
144,368,283,0
145,291,453,0
146,291,653,0
147,610,539,0
148,462,646,0
149,442,394,0
150,632,160,0
151,368,253,0
152,389,548,0
153,632,395,0
154,632,469,0
155,632,346,0
156,291,239,0
157,589,286,0
158,406,42,0
159,97,516,0
160,384,646,0
161,331,37,0
162,583,442,0
163,208,677,0
164,331,40,0
165,331,402,0
166,229,603,0
167,442,343,0
168,589,40,0
169,589,543,0
170,107,360,0
171,330,123,0
172,97,614,0
173,229,434,0
174,331,22,0
175,590,426,0
176,589,485,0
177,375,487,0
178,649,459,0
179,150,480,0
180,610,157,0
181,589,71,0
182,229,297,0
183,610,597,0
184,193,206,0
185,632,317,0
186,617,324,0
187,333,638,0
188,617,42,0
189,291,569,0
190,333,14,0
191,109,383,0
192,406,427,0
193,291,84,0
194,384,2,0
195,442,48,0
196,375,437,0
197,330,91,0
198,506,286,0
199,148,30,0
200,406,613,0
201,148,449,0
202,442,550,0
203,375,669,0
204,368,389,0
205,229,571,0
206,148,389,0
207,655,122,0
208,333,72,0
209,333,245,0
210,193,554,0
211,649,52,0
212,589,374,0
213,560,685,0
214,583,572,0
215,97,624,0
216,97,19,0
217,368,485,0
218,208,45,0
219,8,61,0
220,39,535,0
221,494,265,0
222,330,637,0
223,400,658,0
224,462,271,0
225,208,353,0
226,109,228,0
227,583,63,0
228,371,311,0
229,690,30,0
230,690,314,0
231,435,174,0
232,150,158,0
233,371,432,0
234,610,615,0
235,333,264,0
236,406,403,0
237,107,230,0
238,632,291,0
239,122,422,0
240,649,141,0
241,193,263,0
242,406,134,0
243,560,587,0
244,291,588,0
245,435,377,0
246,330,673,0
247,583,543,0
248,506,39,0
249,691,501,0
250,368,428,0
251,494,649,0
252,655,642,0
253,375,619,0
254,435,494,0
255,617,94,0
256,494,184,0
257,687,143,0
258,400,122,0
259,331,152,0
260,150,455,0
261,655,386,0
262,560,425,0
263,331,247,0
264,208,685,0
265,333,520,0
266,462,597,0
267,389,604,0
268,97,172,0
269,148,490,0
270,384,97,0
271,109,552,0
272,687,354,0
273,687,182,0
274,687,429,0
275,435,61,0
276,462,172,0
277,442,178,0
278,406,469,0
279,330,292,0
280,617,606,0
281,583,602,0
282,690,93,0
283,406,311,0
284,384,505,0
285,384,521,0
286,506,332,0
287,97,433,0
288,590,462,0
289,406,365,0
290,690,32,0
291,610,0,0
292,107,104,0
293,229,465,0
294,330,398,0
295,208,330,0
296,400,476,0
297,109,642,0
298,400,665,0
299,690,288,0
300,690,612,0
301,632,368,0
302,122,51,0
303,442,60,0
304,368,231,0
305,229,367,0
306,208,207,0
307,687,353,0
308,655,579,0
309,291,184,0
310,208,598,0
311,649,5,0
312,107,557,0
313,560,597,0
314,39,442,0
315,406,391,0
316,632,281,0
317,330,285,0
318,389,426,0
319,435,105,0
320,400,576,0
321,229,316,0
322,494,310,0
323,375,26,0
324,330,39,0
325,690,155,0
326,8,488,0
327,229,659,0
328,632,425,0
329,122,306,0
330,442,357,0
331,590,92,0
332,506,52,0
333,148,518,0
334,148,185,0
335,368,565,0
336,371,682,0
337,690,123,0
338,389,262,0
339,333,192,0
340,400,398,0
341,333,88,0
342,506,264,0
343,462,357,0
344,331,332,0
345,122,118,0
346,506,566,0
347,506,557,0
348,687,565,0
349,150,362,0
350,330,283,0
351,39,323,0
352,208,638,0
353,589,136,0
354,506,305,0
355,655,179,0
356,97,50,0
357,691,404,0
358,690,423,0
359,150,352,0
360,375,353,0
361,368,482,0
362,583,439,0
363,690,401,0
364,462,601,0
365,389,644,0
366,371,674,0
367,8,270,0
368,560,340,0
369,375,125,0
370,39,14,0
371,97,399,0
372,331,203,0
373,333,343,0
374,691,24,0
375,649,565,0
376,208,32,0
377,632,13,0
378,691,213,0
379,583,567,0
380,649,148,0
381,39,667,0
382,610,234,0
383,107,133,0
384,687,292,0
385,617,111,0
386,560,211,0
387,462,427,0
388,330,83,0
389,193,371,0
390,583,275,0
391,122,485,0
392,291,673,0
393,632,195,0
394,368,542,0
395,8,225,0
396,442,416,0
397,109,248,0
398,150,652,0
399,122,98,0
400,589,432,0
401,39,80,0
402,371,274,0
403,435,545,0
404,107,447,0
405,436,89,0
406,375,100,0
407,97,546,0
408,333,136,0
409,560,654,0
410,109,690,0
411,632,511,0
412,617,435,0
413,8,634,0
414,687,439,0
415,39,562,0
416,333,492,0
417,655,188,0
418,39,428,0
419,617,496,0
420,371,661,0
421,97,656,0
422,406,667,0
423,632,286,0
424,371,614,0
425,193,261,0
426,494,97,0
427,389,417,0
428,560,624,0
429,8,424,0
430,389,328,0
431,389,57,0
432,375,33,0
433,406,355,0
434,690,482,0
435,8,17,0
436,109,178,0
437,589,179,0
438,291,123,0
439,148,391,0
440,617,303,0
441,148,180,0
442,649,575,0
443,462,198,0
444,690,547,0
445,389,369,0
446,406,571,0
447,150,503,0
448,655,90,0
449,193,260,0
450,107,135,0
451,368,256,0
452,193,499,0
453,442,642,0
454,150,552,0
455,384,406,0
456,368,249,0
457,368,481,0
458,506,25,0
459,494,624,0
460,462,478,0
461,109,83,0
462,291,114,0
463,229,41,0
464,649,446,0
465,690,29,0
466,690,105,0
467,208,520,0
468,8,547,0
469,687,111,0
470,193,632,0
471,389,196,0
472,39,150,0
473,368,342,0
474,8,51,0
475,107,202,0
476,589,563,0
477,406,386,0
478,291,326,0
479,122,558,0
480,371,197,0
481,560,150,0
482,97,478,0
483,406,648,0
484,435,267,0
485,229,591,0
486,687,590,0
487,687,270,0
488,442,323,0
489,442,611,0
490,330,564,0
491,687,509,0
492,655,488,0
493,291,20,0
494,442,164,0
495,589,682,0
496,122,20,0
497,107,398,0
498,494,160,0
499,208,620,0
500,109,406,0
501,109,361,0
502,122,523,0
503,148,499,0
504,8,103,0
505,406,68,0
506,589,150,0
507,690,148,0
508,436,124,0
509,560,648,0
510,589,202,0
511,97,411,0
512,583,511,0
513,333,316,0
514,39,344,0
515,435,527,0
516,39,294,0
517,462,362,0
518,435,65,0
519,590,394,0
520,148,597,0
521,122,414,0
522,435,96,0
523,436,549,0
524,589,47,0
525,406,17,0
526,368,300,0
527,148,578,0
528,39,296,0
529,632,188,0
530,462,316,0
531,384,536,0
532,330,251,0
533,590,568,0
534,583,446,0
535,617,24,0
536,375,349,0
537,655,151,0
538,462,379,0
539,506,139,0
540,229,497,0
541,435,18,0
542,208,276,0
543,208,560,0
