,TF,Target,Label
0,2,993,1
1,2,161,1
2,2,1104,1
3,2,204,1
4,2,452,1
5,2,1362,1
6,2,858,1
7,2,688,1
8,2,982,1
9,2,1180,1
10,2,0,1
11,2,84,1
12,2,640,1
13,2,989,1
14,2,22,1
15,2,1327,1
16,2,113,1
17,2,373,1
18,2,854,1
19,2,313,1
20,2,1103,1
21,2,928,1
22,2,1383,1
23,2,1369,1
24,2,1173,1
25,2,23,1
26,2,407,1
27,2,230,1
28,2,733,1
29,2,215,1
30,2,964,1
31,2,450,1
32,2,411,1
33,2,1157,1
34,2,251,1
35,2,310,1
36,2,1072,1
37,2,1048,1
38,2,237,1
39,2,291,1
40,2,695,1
41,2,1129,1
42,2,493,1
43,2,519,1
44,2,366,1
45,2,552,1
46,2,284,1
47,2,83,1
48,2,1379,1
49,2,179,1
50,2,1050,1
51,2,960,1
52,2,837,1
53,2,1053,1
54,2,1326,1
55,2,926,1
56,2,1163,1
57,2,514,1
58,2,670,1
59,2,790,1
60,2,645,1
61,2,274,1
62,2,599,1
63,2,381,1
64,2,1397,1
65,2,1394,1
66,2,1344,1
67,2,797,1
68,2,1138,1
69,2,720,1
70,2,196,1
71,2,254,1
72,2,527,1
73,2,495,1
74,2,778,1
75,2,72,1
76,2,1127,1
77,2,872,1
78,2,323,1
79,2,962,1
80,2,256,1
81,2,461,1
82,2,1206,1
83,2,342,1
84,2,1024,1
85,2,329,1
86,2,1105,1
87,2,808,1
88,2,79,1
89,2,701,1
90,2,492,1
91,2,427,1
92,2,526,1
93,2,742,1
94,2,924,1
95,2,604,1
96,2,88,1
97,2,991,1
98,2,586,1
99,2,350,1
100,2,1034,1
101,2,607,1
102,2,1184,1
103,2,105,1
104,2,1270,1
105,2,1289,1
106,2,556,1
107,2,206,1
108,2,935,1
109,2,596,1
110,2,1322,1
111,2,236,1
112,2,1014,1
113,2,1151,1
114,2,577,1
115,2,424,1
116,2,597,1
117,2,422,1
118,2,973,1
119,2,945,1
120,2,743,1
121,2,121,1
122,2,25,1
123,2,831,1
124,2,1087,1
125,2,9,1
126,2,186,1
127,2,354,1
128,2,639,1
129,2,538,1
130,2,385,1
131,2,280,1
132,2,95,1
133,2,176,1
134,2,635,1
135,2,1094,1
136,2,1287,1
137,70,819,1
138,70,633,1
139,70,584,1
140,70,308,1
141,70,746,1
142,70,65,1
143,70,1092,1
144,70,185,1
145,70,814,1
146,70,95,1
147,70,343,1
148,70,1334,1
149,70,1103,1
150,70,288,1
151,70,630,1
152,70,244,1
153,70,1331,1
154,70,312,1
155,70,432,1
156,70,346,1
157,70,1383,1
158,70,527,1
159,70,66,1
160,70,391,1
161,70,99,1
162,70,1038,1
163,70,506,1
164,70,962,1
165,70,824,1
166,70,375,1
167,70,142,1
168,70,847,1
169,70,525,1
170,70,191,1
171,70,123,1
172,70,409,1
173,70,1217,1
174,70,1320,1
175,70,41,1
176,70,639,1
177,70,909,1
178,70,1065,1
179,70,221,1
180,70,319,1
181,70,1253,1
182,70,1019,1
183,70,1254,1
184,70,1345,1
185,70,488,1
186,70,482,1
187,70,680,1
188,70,1209,1
189,70,61,1
190,70,1153,1
191,70,1308,1
192,70,805,1
193,70,1192,1
194,70,57,1
195,70,717,1
196,70,1222,1
197,70,817,1
198,70,598,1
199,70,782,1
200,70,225,1
201,70,380,1
202,70,287,1
203,70,44,1
204,70,1142,1
205,70,1056,1
206,70,1063,1
207,70,826,1
208,70,1074,1
209,70,269,1
210,70,750,1
211,70,933,1
212,70,1175,1
213,70,1179,1
214,70,388,1
215,70,735,1
216,70,353,1
217,70,904,1
218,70,1323,1
219,70,813,1
220,70,60,1
221,70,1409,1
222,70,935,1
223,70,1,1
224,70,141,1
225,70,111,1
226,70,297,1
227,70,1291,1
228,70,557,1
229,70,676,1
230,70,4,1
231,70,412,1
232,70,993,1
233,70,27,1
234,70,876,1
235,70,1381,1
236,70,539,1
237,70,816,1
238,70,74,1
239,70,339,1
240,70,241,1
241,70,856,1
242,70,327,1
243,70,1201,1
244,70,867,1
245,70,828,1
246,70,1348,1
247,70,441,1
248,70,623,1
249,70,23,1
250,70,459,1
251,70,36,1
252,70,1341,1
253,70,440,1
254,70,998,1
255,70,1166,1
256,70,881,1
257,70,446,1
258,70,947,1
259,70,649,1
260,70,173,1
261,70,246,1
262,70,309,1
263,70,198,1
264,70,520,1
265,70,1374,1
266,70,122,1
267,70,880,1
268,70,711,1
269,70,714,1
270,70,389,1
271,70,1013,1
272,70,372,1
273,70,1108,1
274,70,137,1
275,70,37,1
276,70,473,1
277,70,760,1
278,70,330,1
279,70,82,1
280,70,1106,1
281,70,621,1
282,70,832,1
283,70,849,1
284,70,357,1
285,70,673,1
286,70,419,1
287,70,1321,1
288,70,912,1
289,70,607,1
290,70,2,1
291,70,989,1
292,70,1043,1
293,70,718,1
294,70,39,1
295,70,648,1
296,70,430,1
297,70,431,1
298,70,237,1
299,70,1113,1
300,70,116,1
301,70,1227,1
302,70,675,1
303,70,1340,1
304,70,1026,1
305,70,342,1
306,70,1275,1
307,70,204,1
308,70,352,1
309,70,1072,1
310,70,278,1
311,70,1070,1
312,70,364,1
313,70,692,1
314,70,578,1
315,70,320,1
316,70,699,1
317,70,1028,1
318,70,930,1
319,70,196,1
320,70,734,1
321,70,292,1
322,70,1359,1
323,70,804,1
324,70,69,1
325,70,1021,1
326,70,114,1
327,70,1219,1
328,70,1319,1
329,70,494,1
330,70,944,1
331,70,877,1
332,70,549,1
333,70,1129,1
334,70,703,1
335,70,591,1
336,70,815,1
337,70,1200,1
338,70,1005,1
339,70,762,1
340,70,1177,1
341,70,749,1
342,70,1255,1
343,70,174,1
344,70,616,1
345,70,793,1
346,70,1118,1
347,70,1189,1
348,70,674,1
349,70,337,1
350,70,118,1
351,70,107,1
352,70,1250,1
353,70,313,1
354,70,193,1
355,70,667,1
356,70,1061,1
357,70,338,1
358,70,18,1
359,70,720,1
360,70,986,1
361,70,669,1
362,70,1292,1
363,70,890,1
364,70,1398,1
365,70,767,1
366,70,209,1
367,70,1257,1
368,70,1034,1
369,70,787,1
370,70,478,1
371,70,1197,1
372,70,310,1
373,70,172,1
374,70,426,1
375,70,1008,1
376,70,834,1
377,70,634,1
378,70,386,1
379,70,901,1
380,70,573,1
381,70,1214,1
382,70,1203,1
383,70,317,1
384,70,481,1
385,70,433,1
386,70,1191,1
387,70,900,1
388,70,439,1
389,70,223,1
390,70,776,1
391,70,592,1
392,70,285,1
393,70,1047,1
394,70,644,1
395,70,528,1
396,70,636,1
397,70,154,1
398,70,682,1
399,70,1184,1
400,70,302,1
401,70,719,1
402,70,1212,1
403,70,76,1
404,70,1394,1
405,70,367,1
406,70,192,1
407,70,529,1
408,70,1198,1
409,70,924,1
410,70,242,1
411,70,661,1
412,70,1123,1
413,70,496,1
414,70,497,1
415,70,274,1
416,70,1066,1
417,70,84,1
418,70,392,1
419,70,771,1
420,70,479,1
421,70,756,1
422,70,770,1
423,70,889,1
424,70,1193,1
425,70,1160,1
426,70,1131,1
427,70,1377,1
428,70,955,1
429,70,252,1
430,70,727,1
431,70,976,1
432,70,360,1
433,70,1393,1
434,70,560,1
435,70,1371,1
436,70,780,1
437,70,404,1
438,70,1004,1
439,70,1071,1
440,70,857,1
441,70,381,1
442,70,587,1
443,70,126,1
444,70,550,1
445,70,120,1
446,70,772,1
447,70,696,1
448,70,171,1
449,70,656,1
450,70,1358,1
451,70,985,1
452,70,652,1
453,70,624,1
454,70,1002,1
455,70,860,1
456,70,272,1
457,70,450,1
458,70,908,1
459,70,212,1
460,70,1036,1
461,70,1263,1
462,70,723,1
463,70,444,1
464,70,899,1
465,70,659,1
466,70,236,1
467,70,1339,1
468,70,646,1
469,70,516,1
470,70,926,1
471,70,1247,1
472,70,1124,1
473,70,414,1
474,70,614,1
475,70,948,1
476,70,143,1
477,70,654,1
478,70,671,1
479,70,1169,1
480,70,556,1
481,70,705,1
482,70,1297,1
483,70,613,1
484,70,355,1
485,70,710,1
486,70,235,1
487,70,586,1
488,70,1119,1
489,70,612,1
490,70,421,1
491,70,1322,1
492,70,387,1
493,70,530,1
494,70,1144,1
495,70,1211,1
496,70,130,1
497,70,894,1
498,70,585,1
499,70,34,1
500,70,1088,1
501,70,165,1
502,70,1112,1
503,70,110,1
504,70,1285,1
505,70,425,1
506,70,1107,1
507,70,677,1
508,70,1121,1
509,70,1258,1
510,70,403,1
511,70,254,1
512,70,853,1
513,70,668,1
514,70,211,1
515,70,161,1
516,70,1221,1
517,70,385,1
518,70,872,1
519,70,650,1
520,70,281,1
521,70,129,1
522,70,239,1
523,70,783,1
524,70,400,1
525,70,1033,1
526,70,1045,1
527,70,301,1
528,70,208,1
529,70,1140,1
530,70,1188,1
531,70,939,1
532,70,514,1
533,70,1080,1
534,70,1139,1
