,TF,Target,Label
0,51,261,1
1,51,895,1
2,51,683,1
3,51,607,1
4,51,1321,1
5,51,23,1
6,51,906,1
7,51,135,1
8,51,1355,1
9,51,250,1
10,51,80,1
11,51,771,1
12,51,3,1
13,51,174,1
14,51,142,1
15,51,1385,1
16,51,790,1
17,51,1019,1
18,51,883,1
19,51,818,1
20,51,32,1
21,51,1217,1
22,51,268,1
23,51,1160,1
24,51,709,1
25,51,1094,1
26,51,173,1
27,51,567,1
28,51,1311,1
29,51,584,1
30,51,938,1
31,51,109,1
32,51,1373,1
33,51,867,1
34,51,1346,1
35,51,162,1
36,51,1417,1
37,51,1238,1
38,51,440,1
39,51,1008,1
40,51,1016,1
41,51,467,1
42,51,188,1
43,51,1082,1
44,51,1365,1
45,51,326,1
46,51,942,1
47,51,433,1
48,51,237,1
49,51,1020,1
50,51,492,1
51,51,94,1
52,51,839,1
53,51,230,1
54,51,1310,1
55,51,28,1
56,51,566,1
57,51,1126,1
58,51,1095,1
59,51,1153,1
60,51,372,1
61,51,1359,1
62,51,637,1
63,51,1381,1
64,51,537,1
65,51,1279,1
66,51,248,1
67,51,800,1
68,51,956,1
69,51,214,1
70,51,588,1
71,51,1266,1
72,51,1024,1
73,51,147,1
74,51,238,1
75,51,601,1
76,51,1132,1
77,51,1147,1
78,51,1154,1
79,51,1374,1
80,51,134,1
81,51,315,1
82,51,1397,1
83,51,569,1
84,51,513,1
85,51,757,1
86,51,1115,1
87,51,910,1
88,51,767,1
89,51,1085,1
90,51,6,1
91,51,949,1
92,51,234,1
93,51,620,1
94,51,1433,1
95,51,889,1
96,51,1375,1
97,51,198,1
98,51,1152,1
99,51,855,1
100,51,552,1
101,51,1236,1
102,51,420,1
103,51,295,1
104,51,706,1
105,51,251,1
106,51,1283,1
107,51,195,1
108,51,434,1
109,51,1202,1
110,51,540,1
111,51,100,1
112,51,1401,1
113,51,77,1
114,51,253,1
115,51,696,1
116,51,1069,1
117,51,1058,1
118,51,1195,1
119,51,262,1
120,51,1394,1
121,51,31,1
122,51,661,1
123,51,871,1
124,51,1360,1
125,51,71,1
126,51,1282,1
127,51,322,1
128,51,254,1
129,51,338,1
130,51,1089,1
131,51,509,1
132,51,1263,1
133,51,760,1
134,51,666,1
135,51,324,1
136,51,330,1
137,51,1037,1
138,51,1010,1
139,51,1227,1
140,51,1277,1
141,51,1044,1
142,51,1193,1
143,51,850,1
144,51,1308,1
145,51,408,1
146,51,497,1
147,51,1189,1
148,51,224,1
149,51,1305,1
150,51,1284,1
151,51,381,1
152,51,804,1
153,51,444,1
154,51,244,1
155,51,451,1
156,51,430,1
157,51,1405,1
158,51,886,1
159,51,963,1
160,51,639,1
161,51,205,1
162,51,646,1
163,51,793,1
164,51,300,1
165,51,310,1
166,51,1406,1
167,51,457,1
168,51,984,1
169,51,1425,1
170,51,1120,1
171,51,83,1
172,51,1107,1
173,51,218,1
174,51,429,1
175,51,367,1
176,51,1142,1
177,51,1392,1
178,51,968,1
179,51,1330,1
180,51,766,1
181,51,266,1
182,51,677,1
183,51,1166,1
184,51,1383,1
185,51,85,1
186,51,978,1
187,51,1201,1
188,51,1410,1
189,51,873,1
190,51,731,1
191,51,987,1
192,51,1421,1
193,51,1038,1
194,51,409,1
195,51,481,1
196,51,208,1
197,51,1057,1
198,51,990,1
199,51,1128,1
200,51,982,1
201,51,350,1
202,51,738,1
203,51,917,1
204,51,123,1
205,51,145,1
206,51,520,1
207,51,1445,1
208,51,814,1
209,51,1004,1
210,51,55,1
211,51,675,1
212,51,485,1
213,51,36,1
214,51,1185,1
215,51,783,1
216,51,1287,1
217,51,264,1
218,51,1065,1
219,51,301,1
220,51,1306,1
221,51,1415,1
222,51,1056,1
223,51,357,1
224,51,1395,1
225,51,1441,1
226,51,621,1
227,51,257,1
228,51,765,1
229,51,1182,1
230,51,1108,1
231,51,1059,1
232,51,969,1
233,51,720,1
234,51,419,1
235,51,705,1
236,51,1323,1
237,51,1028,1
238,51,348,1
239,51,1352,1
240,51,572,1
241,51,1052,1
242,51,463,1
243,51,791,1
244,51,578,1
245,51,619,1
246,51,307,1
247,51,515,1
248,51,577,1
249,51,336,1
250,51,1187,1
251,51,84,1
252,51,1232,1
253,51,1137,1
254,51,199,1
255,51,387,1
256,51,925,1
257,51,102,1
258,51,1345,1
259,51,1091,1
260,51,1169,1
261,51,754,1
262,51,1439,1
263,51,634,1
264,51,1271,1
265,51,1157,1
266,51,1138,1
267,51,144,1
268,51,544,1
269,51,239,1
270,51,543,1
271,51,450,1
272,51,487,1
273,51,1386,1
274,51,172,1
275,51,1419,1
276,51,897,1
277,51,872,1
278,51,879,1
279,51,787,1
280,51,570,1
281,51,828,1
282,51,1075,1
283,51,957,1
284,51,443,1
285,51,288,1
286,51,1047,1
287,51,1364,1
288,51,441,1
289,51,808,1
290,51,628,1
291,51,46,1
292,51,1214,1
293,51,1402,1
294,51,553,1
295,51,1144,1
296,51,280,1
297,51,724,1
298,51,344,1
299,51,392,1
300,51,1210,1
301,51,398,1
302,51,438,1
303,51,1322,1
304,51,772,1
305,51,786,1
306,51,171,1
307,51,1399,1
308,51,562,1
309,51,1180,1
310,51,245,1
311,51,1035,1
312,51,733,1
313,51,1309,1
314,51,1274,1
315,51,1325,1
316,51,502,1
317,51,845,1
318,51,964,1
319,51,117,1
320,51,900,1
321,51,97,1
322,51,1049,1
323,51,1083,1
324,51,518,1
325,51,277,1
326,51,212,1
327,51,1357,1
328,51,774,1
329,51,256,1
330,51,704,1
331,51,389,1
332,51,830,1
333,51,152,1
334,51,4,1
335,51,329,1
336,51,1221,1
337,51,913,1
338,51,1413,1
339,51,40,1
340,51,175,1
341,51,462,1
342,51,1048,1
343,51,656,1
344,51,1018,1
345,51,155,1
346,51,1015,1
347,51,200,1
348,51,921,1
349,51,1303,1
350,51,971,1
351,51,159,1
352,51,517,1
353,51,1215,1
354,51,797,1
355,51,82,1
356,51,1042,1
357,51,524,1
358,51,841,1
359,51,636,1
360,51,803,1
361,51,730,1
362,51,1149,1
363,51,445,1
364,51,425,1
365,51,87,1
366,51,204,1
367,51,1164,1
368,51,718,1
369,51,423,1
370,51,281,1
371,51,1302,1
372,51,837,1
373,51,1356,1
374,51,1292,1
375,51,1178,1
376,51,1161,1
377,51,953,1
378,51,764,1
379,51,1300,1
380,51,1229,1
381,51,131,1
382,51,558,1
383,51,563,1
384,51,133,1
385,51,59,1
386,51,1211,1
387,51,660,1
388,51,937,1
389,51,930,1
390,51,129,1
391,51,386,1
392,51,852,1
393,51,868,1
394,51,777,1
395,51,915,1
396,51,1446,1
397,51,1030,1
398,51,128,1
399,51,670,1
400,51,1297,1
401,51,345,1
402,51,333,1
403,51,34,1
404,51,1371,1
405,51,514,1
406,51,213,1
407,51,1,1
408,51,65,1
409,51,869,1
410,51,1396,1
411,51,1320,1
412,51,780,1
413,51,140,1
414,51,376,1
415,51,672,1
416,51,1339,1
417,51,715,1
418,51,148,1
419,51,342,1
420,51,817,1
421,51,1358,1
422,51,911,1
423,51,1343,1
424,51,437,1
425,51,729,1
426,51,640,1
427,51,414,1
428,51,1167,1
429,51,125,1
