,TF,Target,Label
0,46,536,1
1,46,723,1
2,46,540,1
3,46,793,1
4,46,752,1
5,46,90,1
6,46,507,1
7,46,69,1
8,46,622,1
9,46,165,1
10,46,210,1
11,46,597,1
12,46,559,1
13,46,758,1
14,46,547,1
15,46,163,1
16,46,618,1
17,46,101,1
18,46,724,1
19,46,423,1
20,46,575,1
21,46,587,1
22,46,418,1
23,46,658,1
24,46,340,1
25,46,81,1
26,46,356,1
27,46,432,1
28,46,1097,1
29,46,78,1
30,46,711,1
31,46,929,1
32,46,814,1
33,46,1108,1
34,46,1117,1
35,46,1064,1
36,46,183,1
37,46,926,1
38,46,318,1
39,46,516,1
40,46,1110,1
41,46,719,1
42,46,1029,1
43,46,420,1
44,46,45,1
45,46,1032,1
46,46,1101,1
47,46,302,1
48,46,77,1
49,46,280,1
50,46,465,1
51,46,147,1
52,46,2,1
53,46,673,1
54,46,982,1
55,46,276,1
56,46,892,1
57,46,76,1
58,46,1041,1
59,46,478,1
60,46,440,1
61,46,199,1
62,46,978,1
63,46,685,1
64,51,72,1
65,51,163,1
66,51,540,1
67,51,292,1
68,51,1042,1
69,51,154,1
70,51,818,1
71,51,587,1
72,51,63,1
73,51,965,1
74,51,1065,1
75,51,807,1
76,51,645,1
77,51,439,1
78,51,913,1
79,51,151,1
80,51,322,1
81,51,247,1
82,51,238,1
83,51,742,1
84,51,70,1
85,51,375,1
86,51,638,1
87,51,487,1
88,51,431,1
89,51,523,1
90,51,671,1
91,51,159,1
92,51,123,1
93,51,383,1
94,51,170,1
95,51,789,1
96,51,452,1
97,51,547,1
98,51,642,1
99,51,361,1
100,51,915,1
101,51,157,1
102,51,845,1
103,51,919,1
104,51,854,1
105,51,100,1
106,51,495,1
107,51,390,1
108,51,103,1
109,51,848,1
110,51,416,1
111,51,570,1
112,51,1028,1
113,51,858,1
114,51,101,1
115,51,659,1
116,51,750,1
117,51,1063,1
118,51,454,1
119,51,347,1
120,51,1,1
121,51,1059,1
122,51,901,1
123,51,266,1
124,51,115,1
125,51,564,1
126,51,781,1
127,51,309,1
128,51,772,1
129,51,1089,1
130,51,662,1
131,51,929,1
132,51,504,1
133,51,822,1
134,51,469,1
135,51,366,1
136,51,605,1
137,51,502,1
138,51,646,1
139,51,435,1
140,51,571,1
141,51,1108,1
142,51,64,1
143,51,218,1
144,51,122,1
145,51,175,1
146,51,712,1
147,51,538,1
148,51,53,1
149,51,617,1
150,51,692,1
151,51,1004,1
152,51,510,1
153,51,328,1
154,51,223,1
155,51,526,1
156,51,899,1
157,51,27,1
158,51,879,1
159,51,480,1
160,51,735,1
161,51,1080,1
162,51,588,1
163,51,568,1
164,51,962,1
165,51,933,1
166,51,1047,1
167,51,329,1
168,51,105,1
169,51,286,1
170,51,1077,1
171,51,137,1
172,51,766,1
173,51,231,1
174,51,826,1
175,51,225,1
176,51,577,1
177,51,796,1
178,51,930,1
179,51,877,1
180,51,42,1
181,51,294,1
182,51,713,1
183,51,417,1
184,51,389,1
185,51,62,1
186,51,1094,1
187,51,340,1
188,51,146,1
189,51,1016,1
190,51,384,1
191,51,71,1
192,51,563,1
193,51,404,1
194,51,739,1
195,51,288,1
196,51,820,1
197,51,1022,1
198,51,287,1
199,51,1076,1
200,51,574,1
201,51,47,1
202,51,1092,1
203,51,787,1
204,51,949,1
205,51,191,1
206,51,110,1
207,51,673,1
208,51,1013,1
209,51,333,1
210,51,1041,1
211,51,948,1
212,51,626,1
213,51,754,1
214,51,578,1
215,51,1072,1
216,51,78,1
217,51,32,1
218,51,1003,1
219,51,1117,1
220,51,674,1
221,51,311,1
222,51,79,1
223,51,85,1
224,51,867,1
225,51,864,1
226,51,423,1
227,51,449,1
228,51,314,1
229,51,145,1
230,51,958,1
231,51,950,1
232,51,176,1
233,51,141,1
234,51,323,1
235,51,1085,1
236,51,130,1
237,51,957,1
238,51,43,1
239,51,581,1
240,51,408,1
241,51,982,1
242,51,1008,1
243,51,612,1
244,51,193,1
245,51,315,1
246,51,738,1
247,51,1040,1
248,51,688,1
