,TF,Target,Label
0,2,752,1
1,2,891,1
2,2,724,1
3,2,160,1
4,2,785,1
5,2,988,1
6,2,97,1
7,2,997,1
8,2,1101,1
9,2,620,1
10,2,912,1
11,2,687,1
12,2,1037,1
13,2,451,1
14,2,469,1
15,2,20,1
16,2,829,1
17,2,389,1
18,2,1185,1
19,2,75,1
20,2,1088,1
21,2,1005,1
22,2,498,1
23,2,220,1
24,2,930,1
25,2,532,1
26,2,837,1
27,2,290,1
28,2,359,1
29,2,691,1
30,2,1180,1
31,2,840,1
32,2,1103,1
33,2,744,1
34,2,815,1
35,2,116,1
36,2,786,1
37,2,813,1
38,2,639,1
39,2,91,1
40,2,47,1
41,2,833,1
42,2,264,1
43,2,676,1
44,2,177,1
45,2,1010,1
46,2,462,1
47,2,791,1
48,2,1012,1
49,2,908,1
50,2,996,1
51,2,591,1
52,2,919,1
53,2,435,1
54,2,1091,1
55,2,149,1
56,2,643,1
57,2,1190,1
58,2,644,1
59,2,480,1
60,2,1195,1
61,2,1203,1
62,2,78,1
63,2,1108,1
64,2,801,1
65,2,731,1
66,2,555,1
67,2,1051,1
68,2,579,1
69,2,142,1
70,2,187,1
71,2,461,1
72,2,806,1
73,2,155,1
74,2,378,1
75,2,713,1
76,2,679,1
77,2,416,1
78,2,100,1
79,2,783,1
80,2,623,1
81,2,403,1
82,2,553,1
83,2,108,1
84,2,1105,1
85,2,479,1
86,2,866,1
87,2,1040,1
88,2,223,1
89,2,408,1
90,2,255,1
91,2,938,1
92,2,896,1
93,2,758,1
94,2,259,1
95,2,53,1
96,2,1117,1
97,2,1110,1
98,2,937,1
99,2,252,1
100,2,191,1
101,2,942,1
102,2,593,1
103,2,367,1
104,2,140,1
105,2,6,1
106,2,1109,1
107,2,248,1
108,2,861,1
109,2,320,1
110,2,1111,1
111,2,1019,1
112,2,125,1
113,2,1064,1
114,2,859,1
115,2,943,1
116,2,130,1
117,2,681,1
118,2,888,1
119,2,14,1
120,2,895,1
121,2,1125,1
122,2,391,1
123,2,146,1
124,2,1199,1
125,2,404,1
126,2,1038,1
127,2,36,1
128,2,450,1
129,2,857,1
130,2,372,1
131,2,1166,1
132,2,88,1
133,2,118,1
134,2,16,1
135,2,962,1
136,2,467,1
137,2,1076,1
138,2,114,1
139,2,759,1
140,2,697,1
141,2,616,1
142,2,582,1
143,2,824,1
144,2,1023,1
145,2,828,1
146,2,957,1
147,2,305,1
148,2,979,1
149,2,1007,1
150,2,987,1
151,2,798,1
152,2,292,1
153,2,349,1
154,2,1120,1
155,2,334,1
156,2,604,1
157,2,871,1
158,2,168,1
159,2,533,1
160,2,775,1
161,2,289,1
162,2,740,1
163,2,232,1
164,2,907,1
165,2,864,1
166,2,1145,1
167,2,858,1
168,2,207,1
169,2,684,1
170,2,164,1
171,2,1197,1
172,2,1178,1
173,2,565,1
174,2,226,1
175,2,971,1
176,2,675,1
177,2,523,1
178,2,1092,1
179,2,732,1
180,2,839,1
181,2,427,1
182,2,521,1
183,2,425,1
184,2,984,1
185,2,698,1
186,2,610,1
187,2,261,1
188,2,3,1
189,2,1129,1
190,2,362,1
191,2,1,1
192,2,501,1
193,2,1050,1
194,2,474,1
195,2,853,1
196,2,222,1
197,2,964,1
198,2,1098,1
199,2,287,1
200,2,465,1
201,2,43,1
202,2,602,1
203,2,132,1
204,2,432,1
205,2,772,1
206,2,705,1
207,2,1135,1
208,2,179,1
209,2,953,1
210,2,1085,1
211,2,624,1
212,2,21,1
213,2,397,1
214,2,154,1
215,2,629,1
216,2,314,1
217,2,111,1
218,2,217,1
219,2,1123,1
220,2,141,1
221,2,189,1
222,2,776,1
223,2,826,1
224,2,82,1
225,2,505,1
226,2,658,1
227,2,932,1
228,2,269,1
229,2,926,1
230,2,1039,1
231,2,875,1
232,2,277,1
233,2,721,1
234,2,360,1
235,2,15,1
236,2,914,1
237,2,526,1
238,2,920,1
239,2,760,1
240,2,736,1
241,2,1143,1
242,2,355,1
243,2,383,1
244,2,329,1
245,2,590,1
246,2,445,1
247,2,916,1
248,2,1066,1
249,2,193,1
250,2,9,1
251,2,363,1
252,2,1134,1
253,2,1138,1
254,2,664,1
255,2,1183,1
256,2,182,1
257,2,649,1
258,2,74,1
259,2,254,1
260,2,92,1
261,2,773,1
262,2,771,1
263,2,447,1
264,2,337,1
265,2,1127,1
266,2,976,1
267,2,330,1
268,2,500,1
269,2,444,1
270,2,869,1
271,2,401,1
272,2,762,1
273,2,477,1
274,2,209,1
275,2,563,1
276,2,71,1
277,2,11,1
278,2,228,1
279,2,949,1
280,2,1057,1
281,2,618,1
282,2,384,1
283,2,743,1
284,2,390,1
285,2,1072,1
286,2,495,1
287,2,876,1
288,2,507,1
289,2,516,1
290,2,1193,1
291,2,315,1
292,2,457,1
293,2,405,1
294,2,1087,1
295,2,718,1
296,2,511,1
297,2,333,1
298,2,1001,1
299,2,668,1
300,2,688,1
301,2,1081,1
302,2,133,1
303,2,1146,1
304,2,353,1
305,2,25,1
306,2,280,1
307,2,1119,1
308,2,1015,1
309,2,431,1
310,2,244,1
311,2,831,1
312,2,645,1
313,2,1041,1
314,2,1169,1
315,2,1089,1
316,2,778,1
