,TF,Target,Label
0,17,896,1
1,17,120,1
2,17,954,1
3,17,315,1
4,17,844,1
5,17,429,1
6,17,917,1
7,17,752,1
8,17,469,1
9,17,9,1
10,17,956,1
11,17,368,1
12,17,1047,1
13,17,638,1
14,17,534,1
15,17,695,1
16,17,762,1
17,17,179,1
18,17,788,1
19,17,272,1
20,17,82,1
21,17,563,1
22,17,387,1
23,17,492,1
24,17,819,1
25,17,806,1
26,17,894,1
27,17,815,1
28,17,805,1
29,17,676,1
30,17,466,1
31,17,150,1
32,17,94,1
33,17,613,1
34,17,947,1
35,17,675,1
36,17,656,1
37,17,1131,1
38,17,209,1
39,17,437,1
40,17,6,1
41,17,106,1
42,17,199,1
43,17,349,1
44,17,430,1
45,17,767,1
46,17,538,1
47,17,955,1
48,17,192,1
49,17,979,1
50,17,542,1
51,17,849,1
52,17,461,1
53,17,529,1
54,17,803,1
55,17,473,1
56,17,778,1
57,17,654,1
58,17,687,1
59,17,893,1
60,17,1017,1
61,17,859,1
62,17,824,1
63,17,102,1
64,17,829,1
65,17,982,1
66,17,961,1
67,17,267,1
68,17,493,1
69,17,839,1
70,17,764,1
71,17,391,1
72,17,438,1
73,17,401,1
74,17,359,1
75,17,194,1
76,17,833,1
77,17,1037,1
78,17,1034,1
79,17,936,1
80,17,511,1
81,17,201,1
82,17,826,1
83,17,697,1
84,17,742,1
85,17,1044,1
86,17,262,1
87,17,768,1
88,17,464,1
89,17,266,1
90,17,658,1
91,17,636,1
92,17,989,1
93,17,428,1
94,17,875,1
95,17,758,1
96,17,809,1
97,17,606,1
98,17,344,1
99,17,523,1
100,17,246,1
101,17,671,1
102,17,321,1
103,17,8,1
104,17,207,1
105,17,313,1
106,17,420,1
107,17,1067,1
108,17,61,1
109,17,151,1
110,17,544,1
111,17,1058,1
112,17,465,1
113,17,211,1
114,17,417,1
115,17,595,1
116,17,47,1
117,17,72,1
118,17,274,1
119,17,556,1
120,17,930,1
121,17,504,1
122,17,1081,1
123,17,871,1
124,17,574,1
125,17,415,1
126,17,1024,1
127,17,224,1
128,17,594,1
129,17,680,1
130,17,766,1
131,17,163,1
132,17,593,1
133,17,81,1
134,17,719,1
135,17,1013,1
136,17,382,1
137,17,221,1
138,17,98,1
139,17,219,1
140,17,1059,1
141,17,80,1
142,17,352,1
143,17,984,1
144,17,460,1
145,17,427,1
146,17,343,1
147,17,608,1
148,17,895,1
149,17,703,1
150,17,1078,1
151,17,589,1
152,17,657,1
153,17,354,1
154,17,825,1
155,17,616,1
156,17,5,1
157,17,730,1
158,17,651,1
159,17,175,1
160,17,828,1
161,17,15,1
162,17,769,1
163,17,342,1
164,17,978,1
165,17,200,1
166,17,700,1
167,17,781,1
168,17,910,1
169,17,233,1
170,17,128,1
171,17,581,1
172,17,705,1
173,17,743,1
174,17,580,1
175,17,264,1
176,17,1,1
177,17,138,1
178,17,168,1
179,17,378,1
180,17,734,1
181,17,442,1
182,17,526,1
183,17,1053,1
184,17,165,1
185,17,586,1
186,17,1090,1
187,17,393,1
188,17,210,1
189,17,668,1
190,17,744,1
191,17,1092,1
192,17,548,1
193,17,419,1
194,17,305,1
195,17,64,1
196,17,379,1
197,17,923,1
198,17,1124,1
199,17,32,1
200,17,1055,1
201,17,247,1
202,17,1097,1
203,17,158,1
204,17,476,1
205,17,88,1
206,17,306,1
207,17,183,1
208,17,866,1
209,17,447,1
210,17,276,1
211,17,84,1
212,17,565,1
213,17,265,1
214,17,797,1
215,17,10,1
216,17,1123,1
217,17,604,1
218,17,571,1
219,17,847,1
220,17,549,1
221,17,856,1
222,17,810,1
223,17,804,1
224,17,330,1
225,17,268,1
226,17,399,1
227,17,517,1
228,17,998,1
229,17,239,1
230,17,801,1
231,17,341,1
232,17,402,1
233,17,922,1
234,17,583,1
235,17,328,1
236,17,1077,1
237,17,66,1
238,17,817,1
239,17,983,1
240,17,406,1
241,17,709,1
242,17,599,1
243,17,250,1
244,17,745,1
245,17,1096,1
246,17,610,1
247,17,289,1
248,17,1110,1
249,17,214,1
250,17,336,1
251,17,1038,1
252,17,284,1
253,17,109,1
254,17,712,1
255,17,39,1
256,17,159,1
257,17,376,1
258,17,737,1
259,17,1073,1
260,17,609,1
261,17,1074,1
262,17,115,1
263,17,852,1
264,17,449,1
265,17,958,1
266,17,546,1
267,17,45,1
268,17,1126,1
269,17,338,1
270,17,92,1
271,17,76,1
272,17,969,1
273,17,320,1
274,17,48,1
275,17,457,1
276,17,946,1
277,17,722,1
278,17,501,1
279,17,1002,1
280,17,639,1
281,17,433,1
282,17,642,1
283,17,950,1
284,17,940,1
285,17,1060,1
286,17,46,1
287,17,323,1
288,17,407,1
289,17,566,1
290,17,42,1
291,17,481,1
292,17,1022,1
293,17,487,1
294,17,485,1
295,17,166,1
296,17,720,1
297,17,698,1
298,17,152,1
299,17,83,1
300,17,107,1
301,17,59,1
302,17,932,1
303,17,765,1
304,17,796,1
305,17,245,1
306,17,690,1
307,17,879,1
308,17,907,1
309,17,458,1
310,17,869,1
311,17,976,1
312,17,822,1
313,17,147,1
314,17,155,1
315,17,970,1
316,17,195,1
317,17,275,1
318,17,770,1
319,17,999,1
320,17,182,1
321,17,1116,1
322,17,1003,1
323,17,554,1
324,17,579,1
325,17,877,1
326,17,311,1
327,17,543,1
328,17,222,1
329,17,130,1
330,17,86,1
331,17,90,1
332,17,400,1
333,17,256,1
334,17,389,1
335,17,468,1
336,17,269,1
337,17,723,1
338,17,1009,1
339,17,293,1
340,17,603,1
341,17,1095,1
342,17,133,1
343,17,345,1
344,17,445,1
345,17,1028,1
346,17,153,1
347,17,208,1
348,17,943,1
349,17,134,1
350,17,1041,1
351,17,36,1
352,17,993,1
353,17,33,1
354,17,108,1
355,17,441,1
356,17,662,1
357,17,89,1
358,17,972,1
359,17,949,1
360,17,13,1
361,17,782,1
362,17,273,1
363,17,837,1
364,17,316,1
365,17,864,1
366,17,223,1
367,17,821,1
368,17,578,1
369,17,774,1
370,17,443,1
371,17,707,1
372,17,952,1
373,17,641,1
374,17,731,1
375,17,625,1
376,17,617,1
377,17,439,1
378,17,786,1
379,17,490,1
380,17,618,1
381,17,1023,1
382,17,347,1
383,17,628,1
384,17,456,1
385,17,861,1
386,17,898,1
387,17,309,1
388,17,475,1
389,17,1014,1
390,17,375,1
391,17,632,1
392,17,54,1
393,17,974,1
394,17,494,1
395,17,12,1
396,17,1119,1
397,17,624,1
398,17,75,1
399,17,612,1
400,17,286,1
401,17,205,1
402,17,848,1
403,17,38,1
404,17,853,1
405,17,551,1
406,17,1035,1
407,17,351,1
408,17,929,1
409,17,831,1
410,17,587,1
411,17,590,1
412,17,499,1
413,17,615,1
414,17,91,1
415,17,500,1
416,17,277,1
417,17,307,1
418,17,887,1
419,17,361,1
420,17,888,1
421,17,498,1
422,17,867,1
423,17,70,1
424,17,410,1
425,17,763,1
426,17,380,1
427,17,87,1
428,17,699,1
429,17,203,1
430,17,49,1
431,17,258,1
432,17,747,1
433,17,663,1
434,17,1130,1
435,17,360,1
436,17,1098,1
437,17,596,1
438,17,928,1
439,17,114,1
440,17,324,1
441,17,326,1
442,17,696,1
443,17,44,1
444,17,204,1
445,17,287,1
446,17,914,1
447,17,2,1
448,17,1082,1
449,17,162,1
450,17,139,1
451,17,635,1
452,17,981,1
453,17,381,1
454,17,640,1
455,17,760,1
456,17,649,1
457,17,691,1
458,17,790,1
459,17,885,1
460,17,874,1
461,17,479,1
462,17,373,1
463,17,390,1
464,17,170,1
465,17,569,1
466,17,486,1
467,17,302,1
468,17,434,1
469,17,418,1
470,17,366,1
471,17,281,1
472,17,1103,1
473,17,216,1
474,17,110,1
475,17,489,1
476,17,405,1
477,17,187,1
478,17,291,1
479,17,532,1
480,17,121,1
481,17,605,1
482,17,836,1
483,17,1008,1
484,17,830,1
485,17,29,1
486,17,1093,1
487,17,74,1
488,17,785,1
489,17,377,1
490,17,564,1
491,17,348,1
492,17,572,1
493,17,357,1
494,17,34,1
495,17,140,1
496,17,1049,1
497,17,196,1
498,17,416,1
499,17,759,1
500,17,495,1
501,17,144,1
502,17,714,1
503,17,519,1
504,17,941,1
505,17,1120,1
506,17,562,1
507,17,154,1
508,17,383,1
509,17,1076,1
510,17,739,1
511,17,780,1
512,17,1118,1
513,17,248,1
514,17,99,1
515,17,937,1
516,17,684,1
517,17,621,1
518,17,726,1
519,17,813,1
520,17,678,1
521,17,1107,1
522,17,369,1
523,17,733,1
524,17,1062,1
525,17,891,1
526,17,160,1
527,17,333,1
528,17,903,1
529,17,665,1
530,17,346,1
531,17,784,1
532,17,283,1
533,17,614,1
534,17,670,1
535,17,271,1
536,17,157,1
537,17,189,1
538,17,212,1
539,17,385,1
540,17,919,1
541,17,777,1
542,17,386,1
543,17,254,1
544,17,60,1
545,17,706,1
546,17,783,1
547,17,319,1
548,17,832,1
549,17,890,1
550,17,823,1
551,17,755,1
552,17,990,1
553,17,101,1
554,17,371,1
555,17,1031,1
556,17,202,1
557,17,20,1
558,17,669,1
559,17,470,1
560,17,332,1
561,17,694,1
562,101,769,1
563,101,132,1
564,101,337,1
565,101,644,1
566,101,116,1
567,101,681,1
568,101,913,1
569,101,279,1
570,101,446,1
571,101,778,1
572,101,207,1
573,101,956,1
574,101,284,1
575,101,589,1
576,101,51,1
577,101,215,1
578,101,692,1
579,101,430,1
580,101,269,1
581,101,686,1
582,101,494,1
583,101,671,1
584,101,17,1
585,101,928,1
586,101,137,1
587,101,1103,1
588,101,582,1
589,101,636,1
590,101,433,1
591,101,426,1
592,101,1,1
593,101,87,1
594,101,695,1
595,101,949,1
596,101,588,1
597,101,283,1
598,101,1073,1
599,101,991,1
600,101,924,1
601,101,544,1
602,101,530,1
603,101,971,1
604,101,842,1
605,101,243,1
606,101,792,1
607,101,597,1
608,101,844,1
609,101,254,1
610,101,237,1
611,101,939,1
612,101,897,1
613,101,252,1
614,101,299,1
615,101,131,1
616,101,787,1
617,101,652,1
618,101,147,1
619,101,62,1
620,101,682,1
621,101,93,1
622,101,1038,1
623,101,104,1
624,101,429,1
625,101,459,1
626,101,832,1
627,101,751,1
628,101,849,1
629,101,342,1
630,101,402,1
631,101,468,1
632,101,445,1
633,101,209,1
634,101,434,1
635,101,1035,1
636,101,1039,1
637,101,828,1
638,101,418,1
639,101,759,1
640,101,44,1
641,101,188,1
642,101,654,1
643,101,370,1
644,101,903,1
645,101,159,1
646,101,563,1
647,101,905,1
648,101,592,1
649,101,997,1
650,101,641,1
651,101,349,1
652,101,663,1
653,101,258,1
654,101,143,1
655,101,893,1
656,101,23,1
657,101,423,1
658,101,981,1
659,101,910,1
660,101,218,1
661,101,285,1
662,101,509,1
663,101,806,1
664,101,583,1
665,101,556,1
666,101,371,1
667,101,235,1
668,101,367,1
669,101,138,1
670,101,891,1
671,101,471,1
672,101,743,1
673,101,777,1
674,101,158,1
675,101,791,1
676,101,1063,1
677,101,1024,1
678,101,1130,1
679,101,673,1
680,101,63,1
681,101,658,1
682,101,651,1
683,101,703,1
684,188,946,1
685,188,944,1
686,188,166,1
687,188,125,1
688,188,10,1
689,188,533,1
690,188,742,1
691,188,661,1
692,188,613,1
693,188,1079,1
694,188,28,1
695,188,223,1
696,188,1028,1
697,188,19,1
698,188,566,1
699,188,364,1
700,188,563,1
701,188,88,1
702,188,136,1
703,188,451,1
704,188,826,1
705,188,1017,1
706,188,744,1
707,188,413,1
708,188,1131,1
709,188,905,1
710,188,252,1
711,188,319,1
712,188,405,1
713,188,290,1
714,188,804,1
715,188,949,1
716,188,1075,1
717,188,183,1
718,188,757,1
719,188,1099,1
720,188,557,1
721,188,1123,1
722,188,351,1
723,188,765,1
724,188,912,1
725,188,643,1
726,188,128,1
727,188,402,1
728,188,124,1
729,188,332,1
730,188,828,1
731,188,221,1
732,188,153,1
733,188,855,1
734,188,655,1
735,188,109,1
736,188,399,1
737,188,100,1
738,188,36,1
739,188,1008,1
740,188,1122,1
741,188,32,1
