,TF,Target,Label
0,7,337,1
1,7,570,1
2,7,195,1
3,7,669,1
4,7,390,1
5,7,173,1
6,7,585,1
7,7,630,1
8,7,53,1
9,7,184,1
10,7,602,1
11,7,273,1
12,7,69,1
13,7,160,1
14,7,520,1
15,7,513,1
16,7,310,1
17,7,427,1
18,7,157,1
19,7,677,1
20,7,619,1
21,7,149,1
22,7,36,1
23,7,196,1
24,7,518,1
25,7,89,1
26,7,230,1
27,7,366,1
28,7,19,1
29,7,571,1
30,7,203,1
31,7,186,1
32,7,313,1
33,7,174,1
34,7,239,1
35,7,641,1
36,7,646,1
37,7,223,1
38,7,338,1
39,7,374,1
40,7,6,1
41,7,206,1
42,7,497,1
43,7,551,1
44,7,235,1
45,7,299,1
46,7,300,1
47,7,517,1
48,7,364,1
49,7,409,1
50,7,642,1
51,7,265,1
52,7,342,1
53,7,444,1
54,7,105,1
55,7,217,1
56,7,88,1
57,7,232,1
58,7,147,1
59,7,433,1
60,7,86,1
61,7,316,1
62,7,691,1
63,7,0,1
64,7,286,1
65,7,240,1
66,7,101,1
67,7,483,1
68,7,175,1
69,7,8,1
70,7,512,1
71,7,473,1
72,7,14,1
73,7,241,1
74,7,537,1
75,7,261,1
76,7,472,1
77,7,634,1
78,7,437,1
79,7,185,1
80,7,640,1
81,7,214,1
82,7,464,1
83,7,466,1
84,7,586,1
85,7,477,1
86,7,588,1
87,7,139,1
88,7,604,1
89,7,271,1
90,7,47,1
91,7,356,1
92,7,198,1
93,7,314,1
94,7,165,1
95,7,92,1
96,7,391,1
97,7,177,1
98,7,309,1
99,7,176,1
100,7,336,1
101,7,249,1
102,7,80,1
103,7,558,1
104,7,245,1
105,7,595,1
106,7,600,1
107,7,268,1
108,7,172,1
109,7,524,1
110,7,181,1
111,7,388,1
112,7,670,1
113,7,415,1
114,7,674,1
115,7,340,1
116,7,661,1
117,7,487,1
118,7,425,1
119,7,205,1
120,7,163,1
121,7,584,1
122,7,12,1
123,7,430,1
124,7,275,1
125,7,459,1
126,7,154,1
127,7,618,1
128,7,118,1
129,7,40,1
130,7,529,1
131,7,351,1
132,7,395,1
133,7,578,1
134,7,683,1
135,7,479,1
136,7,201,1
137,7,352,1
138,7,81,1
139,7,655,1
140,7,490,1
141,7,95,1
142,7,93,1
143,7,523,1
144,7,404,1
145,7,575,1
146,7,343,1
147,7,398,1
148,7,680,1
149,7,312,1
150,7,599,1
151,7,103,1
152,7,100,1
153,7,687,1
154,7,91,1
155,7,565,1
156,7,333,1
157,7,448,1
158,7,236,1
159,7,368,1
160,7,416,1
161,7,426,1
162,7,262,1
163,7,469,1
164,7,386,1
165,7,649,1
166,7,431,1
167,7,151,1
168,7,169,1
169,7,121,1
170,7,62,1
171,7,248,1
172,7,51,1
173,7,442,1
174,7,107,1
175,7,393,1
176,7,486,1
177,7,129,1
178,7,625,1
179,7,667,1
180,7,383,1
181,7,247,1
182,7,278,1
183,7,488,1
184,7,597,1
185,7,359,1
186,7,410,1
187,7,682,1
188,7,539,1
189,7,341,1
190,7,544,1
191,7,308,1
192,7,452,1
193,7,663,1
194,7,25,1
195,7,64,1
196,7,283,1
197,7,671,1
198,7,447,1
199,7,480,1
200,7,501,1
201,7,315,1
202,7,211,1
203,7,334,1
204,7,439,1
205,7,162,1
206,7,111,1
207,7,515,1
208,7,583,1
209,7,589,1
210,7,484,1
211,7,506,1
212,7,355,1
213,7,489,1
214,7,297,1
215,7,353,1
216,7,387,1
217,7,78,1
218,7,400,1
219,7,465,1
220,7,33,1
221,7,526,1
222,7,212,1
223,7,27,1
224,7,455,1
225,7,441,1
226,7,71,1
227,7,566,1
228,7,43,1
229,7,377,1
230,7,495,1
231,7,363,1
232,7,70,1
233,7,676,1
234,7,259,1
235,7,83,1
236,7,55,1
237,7,61,1
238,7,199,1
239,7,362,1
240,7,289,1
241,7,52,1
242,7,458,1
243,7,633,1
244,7,267,1
