,TF,Target,Label
0,43,891,1
1,43,868,1
2,43,583,1
3,43,410,1
4,43,509,1
5,43,379,1
6,43,708,1
7,43,717,1
8,43,65,1
9,43,580,1
10,43,194,1
11,43,742,1
12,43,452,1
13,43,128,1
14,43,267,1
15,43,177,1
16,43,19,1
17,43,584,1
18,43,772,1
19,43,502,1
20,43,294,1
21,43,886,1
22,43,504,1
23,43,235,1
24,43,468,1
25,43,111,1
26,43,726,1
27,43,540,1
28,43,124,1
29,43,869,1
30,43,291,1
31,43,732,1
32,43,184,1
33,43,658,1
34,43,586,1
35,43,449,1
36,43,696,1
37,43,613,1
38,43,636,1
39,43,448,1
40,43,902,1
41,43,561,1
42,43,29,1
43,43,344,1
44,43,864,1
45,43,381,1
46,43,6,1
47,43,549,1
48,43,491,1
49,43,163,1
50,43,88,1
51,43,881,1
52,43,877,1
53,43,259,1
54,43,249,1
55,43,126,1
56,43,534,1
57,43,678,1
58,43,374,1
59,43,451,1
60,43,180,1
61,43,105,1
62,43,528,1
63,43,874,1
64,43,23,1
65,43,562,1
66,43,823,1
67,43,20,1
68,43,102,1
69,43,263,1
70,43,9,1
71,43,883,1
72,43,210,1
73,43,285,1
74,43,7,1
75,43,302,1
76,43,582,1
77,43,425,1
78,43,653,1
79,43,656,1
80,43,255,1
81,43,127,1
82,43,400,1
83,43,115,1
84,43,780,1
85,43,592,1
86,43,507,1
87,43,4,1
88,43,31,1
89,43,664,1
90,43,212,1
91,43,876,1
92,43,13,1
93,43,505,1
94,43,479,1
95,43,895,1
96,43,154,1
97,43,357,1
98,43,574,1
99,43,578,1
100,43,241,1
101,43,145,1
102,43,339,1
103,43,722,1
104,43,377,1
105,43,546,1
106,43,594,1
107,43,493,1
108,43,735,1
109,43,47,1
110,43,144,1
111,43,225,1
112,43,209,1
113,43,360,1
114,43,216,1
115,43,866,1
116,43,488,1
117,43,346,1
118,43,76,1
119,43,845,1
120,43,786,1
121,43,408,1
122,43,811,1
123,43,35,1
124,43,900,1
125,43,635,1
126,43,566,1
127,43,455,1
128,43,481,1
129,43,730,1
130,43,55,1
131,43,162,1
132,43,591,1
133,43,892,1
134,43,827,1
135,43,465,1
136,43,321,1
137,43,57,1
138,43,41,1
139,43,91,1
140,43,192,1
141,43,213,1
142,43,571,1
143,43,634,1
144,43,363,1
145,43,27,1
146,43,188,1
147,43,98,1
148,43,904,1
149,43,223,1
150,43,567,1
151,43,803,1
152,43,53,1
153,43,496,1
154,43,503,1
155,43,244,1
156,43,539,1
157,43,626,1
158,43,888,1
159,43,517,1
160,43,398,1
161,43,810,1
162,43,795,1
163,43,790,1
164,43,279,1
165,43,483,1
166,43,372,1
167,43,336,1
168,43,824,1
169,43,685,1
170,43,368,1
171,43,221,1
172,43,906,1
173,43,123,1
174,43,141,1
175,43,0,1
176,43,609,1
177,43,901,1
178,43,438,1
179,43,544,1
180,43,135,1
181,43,848,1
182,43,809,1
183,43,276,1
184,43,879,1
185,43,101,1
186,43,721,1
187,43,793,1
188,43,556,1
189,43,397,1
190,43,50,1
191,43,45,1
192,43,564,1
193,43,835,1
194,43,211,1
195,43,667,1
196,43,514,1
197,43,500,1
198,43,265,1
199,43,506,1
200,43,839,1
201,43,404,1
202,43,513,1
203,43,694,1
204,43,724,1
205,43,422,1
206,43,300,1
207,43,174,1
208,43,683,1
209,43,439,1
210,43,165,1
211,43,459,1
212,43,264,1
213,43,785,1
214,43,590,1
215,43,741,1
216,43,443,1
217,43,649,1
218,43,867,1
219,43,401,1
220,43,884,1
221,43,494,1
222,43,555,1
223,43,246,1
224,43,426,1
225,43,36,1
226,43,343,1
227,43,728,1
228,43,391,1
229,43,316,1
230,43,776,1
231,43,489,1
232,43,684,1
233,43,387,1
234,43,593,1
235,43,197,1
236,43,787,1
237,43,373,1
238,43,30,1
239,43,200,1
240,43,395,1
241,43,153,1
242,43,644,1
243,43,364,1
244,43,39,1
245,43,521,1
246,43,81,1
247,43,116,1
248,43,399,1
249,43,739,1
250,43,639,1
251,43,749,1
252,43,272,1
253,43,736,1
254,43,365,1
255,43,130,1
256,43,444,1
257,43,563,1
258,43,830,1
259,43,214,1
260,43,16,1
261,43,11,1
262,43,497,1
263,43,535,1
264,43,472,1
265,43,537,1
266,43,605,1
267,43,668,1
268,43,457,1
269,43,298,1
270,43,581,1
271,43,236,1
272,43,791,1
273,43,820,1
274,43,413,1
275,43,315,1
276,43,268,1
277,43,429,1
278,43,146,1
279,43,92,1
280,43,442,1
281,43,203,1
282,43,108,1
283,43,731,1
284,43,572,1
285,43,250,1
286,43,778,1
287,43,252,1
288,43,538,1
289,43,771,1
290,43,52,1
291,43,753,1
292,43,125,1
293,43,151,1
294,43,121,1
295,43,670,1
296,43,310,1
297,43,525,1
298,43,841,1
299,43,691,1
300,43,405,1
301,43,215,1
302,43,256,1
303,43,453,1
304,43,207,1
305,43,96,1
306,43,160,1
307,43,463,1
308,43,306,1
309,43,601,1
310,43,434,1
311,43,191,1
312,43,641,1
313,43,388,1
314,43,317,1
315,43,766,1
316,43,248,1
317,43,716,1
318,43,22,1
319,43,87,1
320,43,486,1
321,43,822,1
322,43,182,1
323,43,523,1
324,43,337,1
325,43,673,1
326,43,418,1
327,43,659,1
328,43,239,1
329,43,245,1
330,43,269,1
331,43,86,1
332,43,781,1
333,43,152,1
334,43,629,1
335,43,219,1
336,43,440,1
337,43,842,1
338,43,427,1
339,43,281,1
340,43,859,1
341,43,768,1
342,43,570,1
343,43,296,1
344,43,763,1
345,43,159,1
346,43,331,1
347,43,836,1
348,43,806,1
349,43,804,1
350,43,8,1
351,43,82,1
352,43,857,1
353,43,529,1
354,43,12,1
355,43,743,1
356,43,547,1
357,43,707,1
358,43,3,1
359,43,599,1
360,43,319,1
361,43,234,1
362,43,238,1
363,43,334,1
364,43,258,1
365,43,587,1
366,43,856,1
367,43,157,1
368,43,414,1
369,43,420,1
370,43,356,1
371,43,752,1
372,43,71,1
373,43,431,1
374,43,553,1
375,43,720,1
376,43,854,1
377,43,672,1
378,43,625,1
379,43,612,1
380,43,435,1
381,43,18,1
382,43,206,1
383,43,240,1
384,43,660,1
385,43,698,1
386,43,882,1
387,43,24,1
388,43,198,1
389,43,382,1
390,43,205,1
391,43,873,1
392,43,73,1
393,43,705,1
394,43,282,1
395,43,185,1
396,43,510,1
397,43,384,1
398,43,690,1
399,43,297,1
400,43,887,1
401,43,631,1
402,43,385,1
403,43,648,1
404,43,661,1
405,43,515,1
406,43,894,1
407,43,846,1
408,43,164,1
409,43,542,1
410,43,25,1
411,43,799,1
412,43,417,1
413,43,320,1
414,43,340,1
415,43,789,1
416,43,183,1
417,43,723,1
418,43,228,1
419,43,104,1
420,43,323,1
421,43,251,1
422,43,779,1
423,43,784,1
424,43,638,1
425,43,303,1
426,43,577,1
427,43,651,1
428,43,378,1
429,43,762,1
430,43,710,1
431,43,288,1
432,43,349,1
433,49,840,1
434,49,805,1
435,49,306,1
436,49,28,1
437,49,872,1
438,49,504,1
439,49,115,1
440,49,215,1
441,49,475,1
442,49,69,1
443,49,378,1
444,49,732,1
445,49,502,1
446,49,304,1
447,49,311,1
448,56,248,1
449,56,307,1
450,56,839,1
451,56,785,1
452,56,744,1
453,56,123,1
454,56,448,1
455,56,146,1
456,56,45,1
457,56,560,1
